SKU,Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21582K,"Резьба шпинделя: 1/2"" внутренняя
Потребляемая мощность: 1705 Вт
Выходная мощность: 1150 Вт
Частота холостого хода: 0-1100 / 0-2350 об/мин
Макс. диаметр сверления (Бетон): 132 мм
Держатель насадки: н/д
Макс. диаметр сверления (Кирпич): 152 мм
Диаметр кольца: 53 мм
Длина: 480 мм
Высота: 165 мм
Уровень вибрации: н/д
Уровень вибраций (сверление): н/д
Звуковое давление: 88 дБ(А)
Погрешность давления создаваемого шума: 3 dB(A)
Акустическая мощность: 99 дБ(А)
Погрешность мощности создаваемого шума: н/д
Погрешность вибрации: 2.0 м/с2
Погрешность вибрации: 2.0 м/с2







",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215831,"Держатель насадки: 16 мм
Диаметр кольца: 60 мм
Длина стойки: 995 мм
Макс. диаметр сверления с водосборником: 152 мм
Макс. диаметр сверления без водосборника: 172 мм
Наклон: 45 °



















",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215832,"Описание: Водосборник для D215831
Для применения с: D215831























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215833,"Описание: Сальник водосборника (3 шт.)
Для применения с: D215832























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215834,"Для применения с: D215831
Описание: Редукционное кольцо с 60мм на 53мм























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215835,"Для применения с: D215821 / D215831 / D215851
Описание: Быстрозажимной крепежный кронштейн























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215837,"Описание: Вакуумный насос
Для применения с: D215831 / D215851























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215839,"Описание: Вакуумный комплект (сальник и вентиль)
Для применения с: D215851























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21583K,"Резьба шпинделя: 1 1/4"" наружная и 1/2"" внутренняя
Потребляемая мощность: 1910 Вт
Выходная мощность: 1300 Вт
Частота холостого хода: 0-1000 / 0-2400 / 0-4600 об/мин
Макс. диаметр сверления (Бетон): 152 мм
Держатель насадки: н/д
Макс. диаметр сверления (Кирпич): 202 мм
Диаметр кольца: 60 мм
Длина: 550 мм
Высота: 165 мм
Уровень вибрации: н/д
Уровень вибраций (сверление): н/д
Звуковое давление: 86.5 дБ(А)
Погрешность давления создаваемого шума: 3 dB(A)
Акустическая мощность: 97.5 дБ(А)
Погрешность мощности создаваемого шума: н/д
Погрешность вибрации: н/д
Погрешность вибрации: н/д







",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21585,"Резьба шпинделя: 1 1/4"" наружная
Потребляемая мощность: 2500 Вт
Выходная мощность: 1500 Вт
Частота холостого хода: 500 / 1200 / 2000 об/мин
Макс. диаметр сверления (Бетон): 250 мм
Держатель насадки: н/д
Макс. диаметр сверления (Кирпич): 300 мм
Диаметр кольца: Нет мм
Длина: 570 мм
Высота: 160 мм
Уровень вибраций (сверление): н/д
Звуковое давление: 84.3 дБ(А)
Погрешность давления создаваемого шума: 3 dB(A)
Акустическая мощность: 95.3 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)










",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
