sku,st_komplektaciya
MT218K-QW,"универсальный инструмент, двусторонняя отверточная насадка, 1 аккумулятор, зарядное устройство, кейс."
MT218KB-QW,"универсальный инструмент, насадка дрель-шуруповерт, 2 аккумулятора, двусторонняя отверточная насадка, кейс."
MFL143KB-QW,"2 аккумулятора li-ion 14.4 в, 1.2 а*ч, внешнее зарядное устройство, 5 сверл, 5 полотен для лобзика, 5 саморезов, 10 шлифлистов, спортивный рюкзак с логотипом b&d, пластиковый кейс."
MT300KA-QS,"многофункциональный инструмент, 1 шлифовальная подошва со встроенной системой пылеудаления, 1 погружное пильное полотно для высокоточной резки, 1 сегментное пильное полотно для резки заподлицо, 1 жесткий скребок, 1 гибкий скребок, 6 листов шлифовальной бумаги (зернистость 60, 80 и 120), переходник для установки насадок bosch, einhell и worx с использованием ключа, кейс."
MT350K-QS,"основа для насадок, двусторонняя отвёрточная насадка, насадка дрель-шуруповерт, чемодан."
KW712-XK,"твердосплавные двусторонние ножи, переходник для подключения пылесоса."
KW712KA-QS,"твердосплавные двусторонние ножи, переходник для подключения пылесоса, параллельная направляющая, чемодан."
KX1650-XK,"пистолет горячего воздуха, упаковка."
KX2001-QS,"пистолет горячего воздуха, скребок - многосторонний, упаковка."
KX1692-QS,
KX2200K-QS,"пистолет горячего воздуха, насадка для работы с трубами, насадка для предохранения стекла, конусная насадка, веерная насадка, кейс."
KW1200EKA-QS,"фрезер, 3 цанги, 6 фрез, шаблон, направляющая, копировальное приспособление, приспособление для отделки вертикальных проекций, кейс."
KW900E-XK,"цанги: 6, 6.35 и 8 мм, шаблон, направляющее устройство для края, копировальное приспособление, приспособление для отделки вертикальных проекций, ключ, коробка."
KW1600EKA-QS,"цанги 6, 6.35, 8 ,12.7мм, направляющая гильза для работы по шаблону, параллельный упор, циркуль, защитная панель, ключ, патрубок для вывода опилок через стойку, шесть фрез, чемодан."
KW900EKA-QS,"3 цанги, параллельные упоры, кабель 3м, 6 фрез, гаечный ключ, кейс."
KW1200E-QS,"фрезер, 3 цанги, шаблон, направляющая, копировальное приспособление, приспособление для отделки вертикальных проекций, коробка."
KA330E-QS,"шлифмашина, захват на пылесборнике, 2 листа шлифовальной бумаги (80-зернистая 1 шт, 100-зернистая 1 шт), упаковка."
KA300-XK,"шлифмашина, упаковка."
KA310-QS,"шлифмашина, пылесборник, упаковка."
KA88-QS,упаковка.
KA86-QS,пылесборник.
KA280K-QS,"эксцентриковая подошва, виброподошва, пальчиковая подошва, 3 профильных насадки, 12 листов шлифбумаги, полировальная накладка, накладка для полировки металла, овчина, ключ, кейс."
G720P-RU,"шлифмашина, коробка."
KG902-QS,упаковка.
KG902K-QS,кейс.
KG1200K-QS,"отрезной диск по камню, ключ для смены диска, кейс.."
G850-RU,"шлифмашина, боковая рукоятка, ключ для смены принадлежностей, шлифовальный диск, защитный кожух, упаковка."
KG1200-XK,"отрезной диск, ключ для смены диска, картонная упаковка."
KG1202K-QS,"угловая шлифовальная машина, кейс."
G650-RU,"угловая шлифовальная машина, коробка."
KG912-QS,"угловая шлифовальная машина, дополнительная рукоятка, защитный кожух, специальный ключ, коробка."
KG8215-RU,"угловая шлифовальная машина, коробка."
KG901-QS,упаковка.
KG1202-XK,"угловая шлифовальная машина, коробка."
KA198-QS,"шлифовальная бумага, пылесборник."
EPC14CABK-XK,"два аккумулятора, зарядное устройство, кейс."
BDCDD12K1B-QW,"аккумуляторная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, инструкция по эксплуатации, кейс."
BDCDC18K-QW,"аккумуляторная дрель-шуруповерт, 1 аккумулятор, зарядное устройство, кейс."
EPC18CAK-QW,"1 аккумулятор ni-cd, 1,2а*ч, зарядное устройство, кейс."
EPC14CA-XK,"1 аккумулятор 1,2а*ч, ni-cd, зарядное устройство, коробка."
EPC18CABK-XK,"аккумуляторная дрель-шуруповерт, 2 аккумулятора ni-cd, 1,2 а*ч, зарядное устройство, кейс."
BDCDD186K1B-QW,"аккумуляторная дрель-шуруповерт, 2 аккумулятора, быстрозарядное устройство, кейс."
ASD14KB-QW,"аккумуляторная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, кейс."
ASD14K-QW,"аккумулятор, зарядное устройство, кейс."
ASD18K-QW,"1 аккумулятор, зарядное устройство, кейс."
BDCDC18K1B-QW,"аккумуляторная дрель-шуруповерт, 2 li-lon аккумулятора, зарядное устройство, кейс."
BDCDD186KB-QW,"аккумуляторная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, кейс."
ASD18KB-QW,"2 аккумулятора, зарядное устройство, кейс."
CD121-RU,"аккумуляторная дрель-шуруповерт, 1 аккумулятор, зарядное устройство, коробка."
CD121K-RU,"аккумуляторная дрель-шуруповерт, 1 аккумулятор, зарядное устройство, кейс."
BDCDC18KB-QW,"аккумуляторная дрель-шуруповерт, 2 li-lon аккумулятора, зарядное устройство, кейс."
BDCDD12-XK,"аккумуляторная дрель-шуруповерт, 1 аккумулятор, зарядное устройство, инструкция по эксплуатации, коробка."
BDCDD12KB-XK,"аккумуляторная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, инструкция по эксплуатации, кейс."
BL186KB-QW,"дрель-шуруповерт, 2 аккумулятора, зарядное устройство, кейс."
EPC12CAB-XK,"два аккумулятора, зарядное устройство, коробка."
EPC12CABK-QW,"два аккумулятора, зарядное устройство, кейс."
EGBL14KB-QW,"2 аккумулятора, зарядное устройство, кейс."
BDCHD18KB-XK,"аккумуляторная ударная дрель-шуруповерт, 2 li-ion аккумулятора 1.5а*ч, зарядное устройство, кейс."
FSM1630-QS,"щетка, 2 стандартные насадки, 2 дельтовидные насадки, насадка-планёр для ковровых покрытий, упаковка."
FSS1600-QS,"гибкий шланг 1,2 м, пароструйное сопло с переменой режимов, 3 маленькие чистящие щётки, большая жёсткая щётка, большая проволочная щётка, щётка для чистки в труднодоступных местах, резиновый скребок с губкой для чистки стекол, мерный стаканчик."
FSM1610-QS,"щетка, 1 насадка, упаковка."
FSMH1621R-QS,"пароочиститель, 2 микрофибровые накладки, насадка-планёр для ковровых покрытий, скребок для окон, гибкий шланг, мерный стакан, текстильная накладка, пароструйное сопло, щетка для межплиточных швов, нейлоновая малая щетка, латунная малая щетка, упаковка."
FSM1620-QS,"щетка, 2 насадки, упаковка."
PV1200AV-XK,"пылесос, гофрированный шланг, 2 в 1 - щелевая насадка/интегрированная щетка, сумка."
PAD1200-XK,"щелевая насадка, щетка, сумка."
PD1200AV-XK,"пылесос, 2-в-1: щелевая насадка/интегрированная щетка, длинная щелевая насадка, сумка."
PAV1205,"встроенная щелевая насадка, щетка для обивки, гибкий шланг, мягкая щетка, сумка для хранения."
AV1205-XK,"пылесос, насадка-щетка для чистки обивки сидений, узкая насадка для чистки труднодоступных метс, упаковка."
NV1210AV-XK,"мягкая щетка для приборной панели, жесткая большая щетка для очистки сидений, щелевая насадка, гибкий гофрированный шланг, коробка."
SVFV3250L-QW,"пылесос, турбощетка с дополнительным приводом, щелевая насадка, 2-в-1 щелевая насадка/интегрированная щетка, щетка для уборки шерсти домашних питомцев, упаковка."
PD1820LF-QW,"пылесос, 2-в-1 щелевая насадка/интегрированная щетка, набор для очистки пола и напольного покрытия, длинная щелевая насадка, зарядное устройство, упаковка."
DV1210N-QW,"пылесос, малая складная щетка, станция подзарядки, выдвижное сопло, упаковка."
DV1015EL-QW,"пылесос, упаковка."
PD1020L-QW,"пылесос, 2-в-1 щелевая насадка/интегрированная щетка, упаковка."
DV1415EL-QW,"пылесос, упаковка."
DV7210N-QW,"пылесос, малая щетка, станция подзарядки, упаковка."
DV1815EL-QW,"пылесос, встроенная щетка и щелевая насадка, зарядное устройство и настенное крепление, упаковка."
DV9610NF-QW,"пылесос, комплект для уборки пола, упаковка."
HVFE2150LR-QW,"пылесос, набор для уборки пола, упаковка."
PV1820L-QW,"пылесос, встроенная щелевая насадка, зарядное устройство, упаковка."
WD7210N-QW,"пылесос, сопло для сбора жидкости, станция подзарядки, упаковка."
WD9610N-QW,"пылесос, зарядное устройство, сопло для сбора жидкости, станция подзарядки, упаковка."
PV1020L-QW,"пылесос, встроенная щетка, встроенная щелевая насадка, зарядное устройство, упаковка."
PD1820L-QW,"пылесос, 2-в-1 щелевая насадка/интегрированная щетка, длинная щелевая насадка, зарядное устройство, упаковка."
PV1420L-QW,"пылесос, встроенная щелевая насадка, встроенная щетка, зарядная станция, упаковка."
PD1420LP-QW,"пылесос, 2-в-1 щелевая насадка/интегрированная щетка, щетка для уборки шерсти питомцев, длинная щелевая насадка, зарядное устройство, упаковка."
SVFV3250LR-QW,"пылесос, турбощетка с дополнительным приводом, щелевая насадка, 2-в-1 щелевая насадка/интегрированная щетка, щетка для уборки шерсти домашних питомцев, упаковка."
HVFE2150LB-QW,"пылесос, набор для уборки пола, упаковка."
HVFE2150L-QW,"пылесос, набор для уборки пола, упаковка."
VF110FC-XJ,
PD10-XJ,
VF50-XJ,
VFORB10-XJ,
VF110-XJ,
FSMHBA-XJ,"3 мягкие щетки, щетка для стекол, щетка для плитки."
FSMHKA-XJ,"3 мягкие щетки, большая жесткая щетка, большая мягкая щетка."
FSMHDA-XJ,
FSMH21A-XJ,"резиновый скребок для легкой очистки окон, зеркал или душевых кабин, тонкая нейлоновая щетка для уборки в труднодоступных местах и легкой очистки межплиточных швов, 3 компактные нейлоновые щетки для уборки различных поверхностей, нейлоновая широкая щетка для очистки больших поверхностей, латунная щетка для очистки устойчивых загрязнений."
FSMCG-XJ,
FSMP20-XJ,
FSMP30-XJ,
FSMP30D-XJ,
CSCA3-XJ,
CSRA1-XJ,
CSOA2-XJ,
MTOS4-XJ,"адаптер, шлифпластина, 6 абразивных дисков, пила (1-1/2 х 1-3/8 дерево и металл), сегментная пила, скребок, жесткая стальная лопаточка."
MTJS1-XJ,пилки по дереву - 5 шт.
MTNF9-XJ,2 насадки.
MTHD5-XJ,"сверло по бетону 8 мм, сверло по бетону 10 мм."
MTIM3-XJ,"бита pz - 2 x 50 мм, бита sl - 7.2 x 50 мм, бита hex - 4 x 50 мм, сверло 2.0 x 70 мм, сверло 3.0 x 80 мм, торцевая головка - 8 мм, торцевая головка - 10 мм, торцевая головка - 13 мм;"
MTSA2-XJ,шлифовальная бумага - 5 шт.
MTRT8-XJ,"ключ, профильная фреза, цанговый патрон."
MTTS7-XJ,диск пильный.
CM100-XJ,
ASI300-QS,"крышка отсека для принадлежностей, манометр, воздушный шланг с универсальным адаптером клапана, силовой шнур и штепсельная вилка на 12 в, силовой шнур и штепсельная вилка на 230 в, насадки для накачивания спортивного инвентаря - 3шт., упаковка."
ASI200-XJ,"компрессор, 3 дополнительных насадки для спортивного инвентаря, упаковка."
ASI500-QW,"компрессор, принадлежности для спортивного инвентаря (3 шт.), упаковка."
WM550-XJ,"верстак, упаковка."
WM536-XJ,"верстак, упаковка."
WM825-XJ,"верстак, упаковка."
WM301-XJ,"верстак, упаковка."
