sku,st_komplektaciya
SKU,Комплектация
GD300-QS,травосборник.
GWC54PC-QW,"воздуходув, аккумулятор, зарядное устройство, инструкция, упаковка."
GWC1800L20-QW,"воздуходув, 1 аккумулятор, инструкция, упаковка."
GWC1820PST-QW,"воздуходув, аккумулятор с разъемом usb, зарядное устройство, инструкция, упаковка."
GWC1820PC-QW,"воздуходув, аккумулятор, зарядное устройство, инструкция, упаковка."
GWC3600L20-QW,"воздуходув, рукоятка, мусоросборник, патрубок на вдув, патрубок на выдув, концентратор на выдув, 1 аккумулятор, зарядное устройство, инструкция, упаковка."
GW2500-QS,"пылесос, инструкция, упаковка."
GW2810-QS,"пылесос/воздуходув, наплечный ремень, инструкция, упаковка."
GW2200-QS,"мусоросборник, два сопла."
GPC1820L20-QW,"сучкорез, шина, цепь, защитный чехол пильной цепи, бутылочка со смазкой, аккумулятор (18 в, 2 а*ч), зарядное устройство."
CLM5448PC2-QW,"газонокосилка, мульчирующая заглушка, дефлектор бокового выброса, 2 аккумулятора, зарядное устройство, инструкция, упаковка."
CLMA4820L2-QW,"газонокосилка, 2 аккумулятора, зарядное устройство, инструкция, упаковка."
CLM3820L2-QW,"аккумуляторная газонокосилка, литий-ионный аккумулятор, зарядное устройство, травосборник 35 л, дополнительный аккумулятор, упаковка."
CLM3820L1-QW,"аккумуляторная газонокосилка, литий-ионный аккумулятор, зарядное устройство, травосборник 35 л, упаковка."
LM2000-QS,"газонокосилка, мульчирующая заглушка, дефлектор бокового выброса, травосборник, инструкция."
EMAX34S-QS,травосборник.
EMAX34I-QS,"газонокосилка, травосборник."
EMAX32S-QS,"газонокосилка, травосборник."
EMAX32-QS,"газонокосилка, травосборник."
EMAX42I-QS,травосборник.
EMAX38I-QS,"газонокосилка, травосборник."
GS2400-QS,мусоросборник
GTC3655L20-QW,"кусторез, аккумулятор, зарядное устройство, двусторонний нож, упаковка."
GTC18502PST-QW,"кусторез, аккумулятор 2 а*ч, зарядное устройство 0.4а, упаковка."
GTC5455PC-QW,"кусторез, аккумулятор, зарядное устройство, инструкция, упаковка."
GSL700-QW,"ножницы, 2 насадки: ножницы и кусторез, подставка - зарядное устройство, инструкция, упаковка."
GTC1845L20-QW,"кусторез, аккумулятор, зарядное устройство, двусторонний нож, упаковка."
GSL200-QW,"аккумуляторные ножницы, ножи для травы, упаковка."
GSL300-QW,"нож, зарядное устройство, упаковка."
GSL700-QW,"аккумуляторный кусторез, зарядное устройство, насадка-ножницы, насадка-кусторез, упаковка."
GTC18452PC-QW,"кусторез, аккумулятор, зарядное устройство, двусторонний нож, защитный чехол, упаковка."
GTC36552PC-QW,"кусторез, аккумулятор, зарядное устройство, инструкция, упаковка."
GT7030-QS,"кусторез, двусторонний нож, ножны, инструкция."
GT6060-QS,"кусторез, двусторонний нож, упаковка."
GK1000-QS,2-я рукоятка.
GT5055-QS,"садовый кусторез, упаковка."
GT4245-XK,"кусторез, упаковка."
STC1820CM-QW,"триммер stс1820, аккумулятор, колесная дека cm100, упаковка."
STB3620L-QW,"триммер, аккумулятор, зарядное устройство, инструкция, упаковка."
ST1823-QW,"электрокоса, аккумулятор, зарядное устройство, катушка и режущая леска, руководство по эксплуатации, упаковка."
STC1815-QW,"триммер, аккумулятор, инструкция, упаковка."
STC1820PC-QW,"электрокоса, аккумулятор, зарядное устройство, катушка и режущая леска, руководство по эксплуатации, упаковка."
STC1820PST-QW,"триммер, аккумулятор 2 ач, зарядное устройство 0.4а, упаковка."
STC1820EPC-QW,"триммер, аккумулятор 2 ач, зарядное устройство 0.4а, упаковка."
GLC3630L20-QW,"триммер, аккумулятор, инструкция, упаковка."
GL9035-QS,"триммер, 8 сегментов лески повышенной прочности 2,4 мм, 2 катушки: под намотку на шпулю лески 2 мм и для сегментов повышенной прочности 2,4 мм, упаковка."
GL7033-QS,"катушка с леской, защитный кожух."
GL8033-QS,"триммер, 6 комплектов сверхпрочной лески, катушка для сверхпрочной лески, катушка для стандартной лески, упаковка."
GL250-QS,"триммер, инструкция, упаковка."
ST5530CM-QS,"триммер st5530, колесная дека cm100, упаковка."
GL310-QS,"триммер, катушка с леской (полуавтоматическая)."
GL360-QS,"триммер, катушка с леской (полуавтоматическая), упаковка."
GL360-QS,"триммер, инструкция, упаковка."
GL250-QS,"триммер, инструкция, упаковка."
GKC1825L20-QW,"пила, упаковка, инструкция."
GKC1825LST-QW,"цепная пила, шина, цепь, аккумулятор, зарядное устройство, инструкция, упаковка."
GKC3630L20-QW,"пила, шина, цепь, аккумулятор, зарядное устройство, чехол для шины, инструкция, упаковка."
CS2245-QS,"пила, упаковка."
CS2040-QS,"пила, упаковка."
CS1835-QS,"пила, гаечный ключ, упаковка."
BL2018-XJ,
BL2036-XJ,
BDC2A36-QW,
BDC1A15-QW,
BL1554-XJ,
BL2554-XJ,
BL4018-XJ,
BL20362-XJ,
CS3652LC-XK,"отвертка, отверточная насадка, зарядное устройство, упаковка."
KC460LN-XK,"аккумулятор (li-ion, 1,1ач, встроенный);зарядное устройство, 1 двухсторонняя отверточная насадка, металлический бокс."
CS3653LC-XK,"отвертка, зарядное устройство, 3 отверточные насадки (ph1, ph2, sl6), картонная коробка."
KC3610-RU,"аккумуляторный винтоверт, упаковка."
CS3651LC-QW,"винтоверт, зарядное устройство, упаковка."
GKC108-QW,"пила, полотно пильное по дереву для работы в саду, аккумулятор 10.8 в, 1.3 а*ч, зарядное устройство, инструкция, упаковка."
KR504CRE-XK,дополнительная ручка.
KR504RE-XK,"дополнительная ручка, ключ для патрона."
CD714CRES-XK,"ударная дрель, дополнительная рукоятка, коробка."
KR5010-RU,"дрель, ключевой патрон, ключ, коробка."
KR554CRES-XK,"глубиномер, дополнительная ручка."
HD555-RU,"дрель, ключ, рукоятка, ограничитель глубины, коробка."
KR806K-QS,"боковая рукоятка, ограничитель глубины сверления, чемодан."
KR714CRESK-QS,"дополнительная ручка, ограничитель глубины сверления, кейс."
KR604CRES-QS,дополнительная ручка.
KR1102K-QS,"боковая рукоятка, ограничитель глубины сверления, чемодан."
BDPR400-XJ,"ролик для покраски bdpr400, универсальное крепление емкости для краски, рукав 9 мм, упаковка."
HVLP400-QS,"напольный краскопульт, емкость для краски, ковш для смешивания краски, щетка для чистки, воздушный шланг 6 м, упаковка."
HVLP200-QS,"краскопульт, ковш для смешивания краски, емкость для краски, упаковка."
KS901PEK-XK,"лобзик, кейс."
JS20-RU,"лобзик, шестигранный ключ, упаковка."
KS701PEK-QS,"лобзик, 1 пильное полотно, кейс."
KS701E-QS,"лобзик, коробка."
KS500K-XK,"лобзик, кейс."
KS801SEK-QS,"лобзик, кейс."
KS501-XK,коробка.
KS901SEK-XK,"лобзик, кейс."
KS900EK-XK,чемодан.
KS950SLK-QS,"чемодан, 3 пилки."
JS10-RU,"лобзик, шестигранный ключ, упаковка."
BDR26K-RU,"перфоратор, ограничитель глубины, ящик для хранения."
KD860KA-QS,"кейс, буры (8, 10, 12 мм)."
KD985KA-XK,"дополнительные принадлежности, бур 10x110мм, плоское долото 22x250мм, боковая рукоятка и ограничитель глубины сверления, 13мм адаптер патрона и ключ, кейс."
KD855KA-QS,"кейс, два бура (8 и 10 мм), дополнительная рукоятка, ограничитель глубины сверления."
KD990KA-XK,"перфоратор, боковая рукоятка, ограничитель глубины, 3 бура, 2 долото, адаптер для патрона, кейс."
KD1250K-QS,"адаптер для патрона, кейc."
KS880EC-QS,"пила, коробка."
KS890EK-QS,"полотно по дереву и пластику, лобзиковое полотно, полотно по металлу, кейс."
RS890K-QS,"пила, 3 полотна для различных материалов, кейс."
CD601-XK,"пильный диск, боковой упор, упаковка."
KS1300-QS,"пильный диск с твердосплавными напайками, параллельный упор."
CS1550-QS,"дисковая пила, пильный диск с твердосплавными напайками, параллельный упор, упаковка."
CS1004-RU,"дисковая пила, пильный диск с твердосплавными напайками, параллельный упор, шестигранный ключ для установки пильного диска, коробка."
KS1400L-QS,"пильный диск, параллельный упор."
