sku,st_tip_patrona,st_sverlilniy_patron,st_vstroenniy_pricel,st_raspolozhenie_dvigatelya,st_regulirovka_stola,st_rabota_po_betonu,st_dlina_shini,st_dlina_lezviya,st_elektronnaya_reg_oborotov,zaschita_ot_peregreva,st_vrashen_strog_vala,st_vozmojnost_reza_pod_uglom,st_stancionarnoe_kreplenie,st_plavniy_pusk,st_maxdiam_koron_sverla,st_360_gradusov,st_rabocheye_davleniye,st_rezba_spindelya,st_rashod_vozduha,st_razreshenie_pix,st_dvigatel,st_max_glubina_reza,st_glubina_rezaniya_mm,st_podkluchenie,st_maxskorost_vozduha_kub,st_napravlayushaya_shina,st_predohran_mufta,st_vozmojnost_sbora_zhidkosti,st_podderzhan_post_oborotov,st_ploshad,st_zashita_ot_udara,st_diametr_mm,st_akb_v_komplekte,st_kilichestvo_acum_komplect,st_regulir_glubini_stroganiya,st_maxvrash_moment_myagk,st_diametr_obyektiva,st_sistema_podachi_soj,st_maxrazmer_krepezha,st_maxglubina_propila_45,st_dlina_shini_duym,st_maxtolshina_zagotovki,st_nalichie_udara,st_razmer_cangi,st_maxsila_udara,st_nalichie_reversa,st_dlina_shini_duym,st_maxglubina_propila_90,st_graudirovka_limba,st_gorizontalnoe_peremeshenie,st_maxshirina_lenti,st_napryazheniye_akkumulyatora,st_napryazhenie_v_accum,st_emkost_accumulatora,st_napryazheniye_v,st_vremya_zaryada,st_regulirovka_visoti,st_kreplenie_poloten,st_rabocaya_temperatura,st_nalichie_lazera,st_tip_stanini,st_kolichestvo_tochek_otscheta,st_avtosmativanie_kabela,st_vstroen_patrub_pilesos,st_tip_posadki,st_posad_diametr,st_kolichestvo_nasadok,st_ugol_samoviravnivaniya,st_chislo_hodov_holostoy_hod,st_vremya_raboti_odin_zaryad,st_obyem_syemnogo_backa,st_vibrozashita,st_obyem_baka,st_skorost_rezaniya,st_tip_diska,st_diametr_vsas_shlanga,st_proverka,st_max_chastota_udarov,st_maxglubina_chetverti,st_visota_skashivaniya,st_kilichestvo_acum_komplect,st_chastota_vrashch_shpind,st_dlina_kabelya,st_maxdiam_sverleniya_beton,st_sistema_valikov,st_regulirovka_glubin_reza,st_blokirovka_shpindelya,st_diametr_aspirac_otver,st_tip_pilesbornika,st_glubina_stroganiya,st_diametr_aspirac_otver_mm,st_regulirovka_moshnosti,st_min_izmer_uchastok,st_podkluchenie_pilesosa,st_skorost_dvizheniya_min,st_razmer_rab_stola,st_sposob_raspileniya,st_kolichestvo_luchey,st_viborka_chetverti,st_elektr_regul_chast_vrashen,st_maxglubina_stroganiya,st_nalichie_reversa,st_forma_ruchki,st_rabochaya_temperatura,st_regulirovka_temperaturi,st_maxdiam_sverleniya_kirpich,st_rabota_so_smartfonom,st_klass_lazera,st_tip_nozha,st_dlina_reza,st_cvet,st_blok_spindelya,st_rabochiy_hod_frezi,st_dlina_zonda,st_podsvetka,st_naklon_pili,st_tip_reza,st_velichina_hoda,st_maxshirina_obrabotki,st_vibroruchka,st_vremya_nagreva,st_uvelichenie,st_maxshirina_propila_90,st_tormoz_dvigatelya,st_nalichie_semnogo_backa,st_ugol_povorota_tiskov,st_maxdiam_sverleniya_derevo,st_shirina_skashivaniya,st_srednekvadrat_pogreshnost,st_rezhushiy_element,st_klass_pili,st_shag_cepi,st_maxshirina_reza,st_tip_ruchki,st_beskluch_regulerovka_cepi,st_pogreshnost_mm,st_vizir,st_tip,st_maxvrash_moment_zhestk,st_raspil_truba_mm,zaschita_ot_peregreva,st_dalnost_bez_priemnika,st_mayatnikoviy_hod,st_razmer_nozhey,st_ranceviy,st_samohodnaya,st_shirina_obrabotki_sm,st_indikaciya_zapolneniya,st_ustroystvo_accumulyatora,st_tip_accumulatora,st_zashita_ot_neprednamer_pusk,st_razmer_hoda_platform,st_reguliruemaya_shtanga,st_vodyanoe_ohlajdenie_tip,st_maxglubina_sverleniya,st_mulchirovanie,st_glubina_obrabotki,st_maxdavlenie_atm,st_ugol_naklona,st_rozetka_dla_instrumenta,st_funkciya_viduvaniya,st_emkost_accumulatora,st_zk_display,st_razborniy_val,st_dlina_volny,st_maz_diam_frezi,st_dlina_lenti,st_vozmozhnost_podkl_pilesos,st_vnesen_v_reestr,st_bluetooth,st_princip_raboti,st_obyem_travosbornika,st_material_obrabotki,st_maxobyem_vozduha_kub,st_bachek_dla_soj,st_diam_patrona,st_tip_dvigatelya,st_rabochiy_hod,st_kreplenie_hvost_osnastki,st_shirina_paza,st_vertikalniy_hod_karetki,st_otkluchen_viravnitelya,st_dalnost_izmereniya,st_kolichestvo_nagrev_elem,st_izmeryaemaya_temperatura,st_shirina_obrabotki,st_istochnik_sveta,st_potreb_moshnost,st_tip_viravnivaniya,st_chastota_kolebaniy,st_uroven_shuma,st_hod_spindilya,st_max_krutyashchiy_moment,st_razmer_magnita,st_sistema_ochistki,st_shtativ,st_obem_zalivaemoy_vodi,st_rezba_pod_shtativ,st_prizhimnaya_sila,st_dalnost_izmeren_priemnika,st_superflanec,st_diametr_diska,st_privodnoy_val,st_napravlenie_luchey,st_obyem_maslennogo_baka,st_chislo_stupen_krutmoment,st_adapter_pileudaleniya,st_peredacha_na_pc,st_chislo_oborotov,st_bistrozajim_sds,st_musorosbornik,st_beskluch_zamena_osnast,st_manometr,st_diametr_vsas_shlanga_m,st_tochnost_mmm,st_tip_podachi,st_kolichestvo_frez,st_cvet_lucha,st_glubina_raspil_derevo_mm,st_visota_skashivaniya_max,st_kolichestvo_rezhim_regulir,st_pitaniye,st_temperatura_hraneniya,st_shirina_rezaniya_mm,st_diametr_kameri,st_glubina_raspila_metal,st_maxshirina_propila_45,st_chislo_skorostey,st_skorost_vrasheniya_cepi
KR504CRE-XK,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2800,2,,,,,,,,,,,,,,,,,,,есть,,,,13,,,,,,,,,нет,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR504RE-XK,ключевой,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2800,2,,,,,,,,,,,,,,,,,,,есть,,,,10,,,,,,,,,нет,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CD714CRES-XK,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2800,2,,,,,,,,,,,,,,,,,,,есть,,,,13,,,,,,,,,нет,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR5010-RU,ключевой,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2900,,,,,,,,,,,,,,,,,,,,нет,,,,13,,,,,,,,,нет,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR554CRES-XK,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2800,,,,,,,,,,,,,,,,,,,,есть,,,,13,,,,,,,,,нет,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
HD555-RU,ключевой,,,,,,,,да,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43132,,,,,,,,,,,,,45000,,,,2800,2,,,,,,,,,,,,,,,,,,,есть,,,,16,,,,,,,,,нет,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR806K-QS,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52700,,,,3100,,,,,,,,,,,,,,,,,,,,есть,,,,16,,,,,,,,,нет,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,850,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR714CRESK-QS,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2800,3,,,,,,,,,,,,,,,,,,,есть,,,,13,,,,,,,,,нет,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR604CRES-QS,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47600,,,,2800,3,,,,,,,,,,,,,,,,,,,есть,,,,13,,,,,,,,,нет,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
KR1102K-QS,быстрозажимной,,,,,,,,да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54400,,,,3200,4,,,,,,,,,,,,,,,,,,,есть,,,,20,,,,,,,,,нет,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,1100,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
BDPR400-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,безвоздушный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVLP400-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HVLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,воздушный,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVLP200-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HVLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,воздушный,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS901PEK-XK,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
JS20-RU,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS701PEK-XK,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
KS701E-QS,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,
KS500K-XK,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,
KS801SEK-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
KS501-XK,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,
KS901SEK-XK,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
KS900EK-XK,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
KS950SLK-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
JS10-RU,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,скобовидная,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDR26K-RU,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43283,электронный,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,4000,,,,900,2,26,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDS-Plus,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD860KA-QS,,нет,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,43252,электронный,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,960,,20,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDS-Plus,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD985KA-XK,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43133,электронный,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,5180,,,,980,3,24,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDS-Plus,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD855KA-QS,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43252,электронный,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,5100,,,,960,,20,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDS-Plus,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD990KA-XK,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43192,электронный,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,5180,,,,980,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDS-Plus,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD1250K-QS,,нет,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,43223,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,4100,,,,850,3,32,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDS-Plus,,,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS880EC-QS,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,оригинальное,,,,,,,,,,,4500,,,,,,,,,,,,,,3,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,50,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,100,,,,,,,3,,,
KS890EK-QS,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,оригинальное,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,125,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,100,,,,,,,3,,,
RS890K-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,оригинальное,,,,,,,,,,,2700,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,
CD601-XK,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,нет,,,нет,,,170,,,,,,,,33,,,,,,,,55,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,2,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,
KS1300-QS,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,нет,,,нет,,,190,,,,,,,,50,,,,,,,,65,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,
CS1550-QS,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,есть,,,нет,,,190,,,,,,,,50,,,,,,,,66,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,2,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,5500,,,,,,,,,,,,,,,,,,,,
CS1004-RU,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,,,,нет,,,190,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,2,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,5300,,,,,,,,,,,,,,,,,,,,
KS1400L-QS,,,,,,,,,нет,,,,,нет,,,,,,,,,,,,нет,,,нет,,,190,,,,,,,,50,,,,,,,,65,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,
MT218K-QW,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT218KB-QW,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFL143KB-QW,,,,,,,,,есть,,,,,есть,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT300KA-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,есть,,,,,,,,,,,,,,,,,,,,300,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT350K-QS,,,,,,,,,есть,,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
