sku,st_komplektaciya
DCD995P2,"2 сдвижные батареи серии XR Li-ion 5.0 А·ч с индикатором заряда, универсальное зарядное устройство, клипса на ремень, магнитный держатель для бит, многопозиционная боковая рукоятка, чемодан системы TSTAK."
DCD716D2,"дрель-шуруповерт, 2 аккумулятора Li-ion, зарядное устройство, инструкция, чемодан."
DCD778S2T,"дрель-шуруповерт, 2 батареи 1.5 А·ч XR Li-ion, универсальное зарядное устройство XR, чемодан."
DCD996P2-QW,"бесщеточная ударная дрель-шуруповерт, 2 XR Li-ion аккумулятора 5.0 А·ч с индикатором заряда, универсальное зарядное устройство XR, крепление на пояс, многопозиционная боковая рукоятка, чемодан TSTAK."
DCD785C2-QW,"ударная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, поясная клипса, чемодан."
DCD796P2-QW,"бесщеточная ударная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, крепление на пояс, чемодан TSTAK."
DCF887N-XJ,"шуруповерт, крепление для фиксации на поясе, упаковка."
DCF815D2-QW,"аккумуляторный шуруповерт, 2x2.0 А·ч XR Li-ion батареи, 40-минутное зарядное устройство, чемодан."
DCD936L2,"60-минутное зарядное устройство, две батареи, многопозиционная боковая рукоятка, чемодан."
DCD796D2-QW,"бесщеточная ударная дрель-шуруповерт, 2 аккумулятора, зарядное устройство, крепление на пояс, чемодан TSTAK."
DCD795P2,"две батареи 5.0 А·ч, XR Li-ion с индикацией заряда, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан TSTAK."
DCF886D2-QW,"бесщеточный импульсный шуруповерт, 2 XR Li-ion сдвижные батареи 2.0 А·ч, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCD776C2,"аккумуляторная дрель, 2 хr Li-ion батареи 1.3 А·ч, универсальное зарядное устройство, чемодан."
DCF835M2-QW,"универсальное зарядное устройство, 2 сдвижные батареи, чемодан."
DCF835L2,"60-минутное зарядное устройство, две Li-ion батареи, чемодан."
DCD995M2,"две сдвижные батареи серии XR Li-ion 4.0А·ч с индикатором заряда, универсальное зарядное устройство, клипса на ремень, магнитный держатель для бит, многопозиционная боковая рукоятка, чемодан системы TSTAK."
DCD795M2,"две батареи 4.0А·ч, XR Li-ion с индикацией заряда, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCF836D2-QW,"импульсный шуруповерт, 2 x 2.0 А·ч XR Li-ion сдвижные батареи, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCF825M2-QW,"бесщеточный импульсный шуруповерт, 2 XR Li-ion сдвижные батареи 4.0 А·ч, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCD937P2-QW,"две батареи XR Li-ion 5.0 А·ч, универсальное зарядное устройство, клипса для крепления инструмента на ремень, магнитный держатель насадок, многопозиционная боковая рукоятка, чемодан системы TSTAK."
DCD935B2,"40-минутное зарядное устройство, 2 аккумулятора Ni-MH, 2.6 А·ч, многопозиционная боковая рукоятка, чемодан."
DCD985M2,"многопозиционная боковая рукоятка, универсальное зарядное устройство, 2 сдвижные батареи, чемодан."
DCD785L2,"60-минутное зарядное устройство, две Li-ion батареи 18.0 В, 3 А·ч, чемодан."
DCF886M2-QW,"бесщеточный импульсный шуруповерт, 2 аккумулятора, зарядное устройство, крепление на пояс, чемодан TSTAK."
DC725KA,"1-часовое зарядное устройство, 2 аккумулятора NiCd, 2,0А·ч, чемодан."
DCD936M2,"2 аккумулятора Li-ion 14.4 В, 4.0 А·ч, универсальное зарядное устройство, многопозиционная боковая рукоятка, чемодан."
DCD785M2,"универсальное зарядное устройство, 2 сдвижные батареи, чемодан."
DCD737D2-QW,"бесщеточная ударная дрель-шуруповерт, две батареи 2.0 А·ч, XR Li-ion, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCF885L2,"аккумуляторный ударный шуруповерт, 60-минутное зарядное устройство, две Li-ion батареи, чемодан."
DCF815S2,"аккумуляторный ударный шуруповерт, 40-минутное зарядное устройство, две Li-ion батареи по 1.5 А·ч, чемодан."
DCD737M2,"две батареи 4.0 А·ч XR Li-ion, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DCD945B2,"кейс, зарядное устройство на 40 мин, 2 аккумулятора, боковая рукоятка."
DCD925B2,"40-минутное зарядное устройство, 2 аккумулятора Ni-MH, 2,6А·ч, многопозиционная боковая рукоятка, чемодан."
DCF836M2-QW,"ударный аккумуляторный шуруповерт, 2 x 4.0 А·ч XR Li-ion сдвижные батареи, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан."
DC745KB,"зарядное устройство, две NiMH батареи 2.6 А·ч, чемодан."
DCD735M2,"универсальное зарядное устройство, 2 батареи, чемодан."
DCD735L2,"60-минутное зарядное устройство, две Li-ion батареи 14.4 В, чемодан."
DCD985L2,"60-минутное зарядное устройство, две батареи, многопозиционная боковая рукоятка, чемодан."
DCD737P2-QW,"2 батареи 5.0 А·ч, XR Li-ion, универсальное зарядное устройство XR (18 В/14.4 В/10.8 В), клипса на ремень, магнитный держатель, чемодан TSTAK."
DW263K-QS,"магнитный держатель насадок, 8 мм, два адаптера (13 мм, 15 мм), головка с установкой на глубину закручивания, чемодан."
DW274K-QS,"головка с усановкой на глубину закручивания, держатель насадок, насадка PH2, клипса для ремня, чемодан."
DW269K-QS,"шуруповерт, чемодан."
DCV582-QW,"пылесос, шланг 1.5 м, щелевая (узкая) насадка для удаления мусора, широкая насадка для удаления мусора."
DCV584L,"пылесос, шланг, насадки."
DWV902L-QS,"шланг 4.6м х 32мм, переходник AirLock, 35 мм, ступенчатый резиновый переходник AirLock, пылесборник, упаковка."
DWV901L-QS,"пылесос, шланг 4м х 32мм, переходник AirLock, 35 мм, пылесборник, коробка."
DWV902M-QS,"пылесос, шланг 4 м х 32 мм, переходник AirLock, 35 мм, ступенчатый резиновый переходник AirLock, пылесборник."
DWV900L-QS,"пылесос, патрубок для удаления пыли, шланг 2.0м х 32мм, разъем dwv9130, фильтр, руководство по эксплуатации, упаковка."
DWS5026-XJ,
DW711-QS,"пильный диск Series 40 с 24 зубьями, верхний кожух с пылеотсосом, специальный ключ, шестигранный ключ, толкатель."
D27111-QS,"пильный диск, толкатель, специальный ключ для пильных дисков, направляющая планка, защитный кожух диска, торцевой ключ."
DW743N-QS,"пильный диск с твердосплавными напайками, параллельная направляющая, толкатель, 4 отсоединяемые ножки, защитный кожух диска, инструмент для сборки, зажим для заготовки, упаковка."
D27107-QS,"твердосплавный (тст) пильный диск, параллельная направляющая, расклинивающий нож, толкатель, пылесборник, защитный кожух, инструмент для сборки, струбцина, упаковка."
DWC410-QS,"110 мм алмазный диск для мокрой/сухой резки, ключи для смены диска, упаковка."
D24000-QS,"отрезной алмазный диск dt3734, дополнительный стол, боковой и задний коллекторы воды, шестигранный ключ, упаковка."
DW729KN-XS,"пильный диск с 32 зубьями, монтажные инструменты, автоматический возврат для безопасной работы, тормоз диска, стол на ножках, упаковка."
DW722KN-XS,"1 частично собранная радиально-консольная пила;2 съемные планки стола (1 правая, 1 левая), 2 направляющих упора (1 правый, 1 левый), 2 удлиняющих элемента рабочего стола (1 правый, 1 левый), 1 кожух пылесборника, 1 стол на ножках (4 ножки, 4 рейки, 24 болта м8х16, 24 гайки м8 и 48 плоских шайб d8), 1 набор принадлежностей в пакете: 1 гаечный ключ 10/13 мм, 1 гаечный ключ 22 мм, 1 торцевой гаечный ключ 13 мм, 4 шестигранных ключа (3, 4, 5, 6 мм), 1 рукоятка регулировки высоты консоли, 1 винт с головкой под крестообразный шлиц m4.2 x 16, 4 удлиняющих элемента рабочего;стола, 19 болтов m8 x 25, 19 плоских шайб d8, 19 гаек м8, 1 резиновый вкладыш, 6 деревянных вставок, 3 винта m8 x 16, 3 шайбы d8, 1 руководство по эксплуатации, 1 чертеж инструмента в разобранном виде, упаковка."
DW721KN-QS,"пильный диск с 32 зубьями, монтажные инструменты, автоматический возврат для безопасной работы, тормоз диска, стол на ножках, большой пылесборник с 4"" коннектором, упаковка."
DW733-QS,"пылезащитный кожух и адаптер, шестигранный ключ, спецключ, приспособление для смены ножей, упаковка."
D27300-QS,"ножи из быстрорежущей стали, регулируемая направляющая, шестигранные ключи, спецключ, уровень для установки ножей, наконечник пылеотвода, толкатель, ножки, упаковка."
D21620K,"быстрозажимной держатель фрез, емкость для подачи жидкости, реверсивная нажимная рукоятка, защитный щиток, страховочный ремень, чемодан."
DWE1622K-QS,"быстрозажимной держатель фрез, емкость для подачи жидкости, реверсивная нажимная рукоятка, защитный щиток, страховочный ремень, чемодан, 16 мм патрон, адаптер, упаковка."
DWE7491-QS,"пильный диск Series 30 с 24 зубьями, торцовочная направляющая, 2 ключа, параллельная направляющая, принадлежность для удаления опилок, толкатель, упаковка."
DW745-QS,"пильный диск Series 30 с 24 зубьями, торцовочная направляющая, 2 ключа, параллельная направляющая, принадлежность для удаления опилок, толкатель, упаковка."
D21583K-QS,"многопозиционная боковая рукоятка, устройство защиты от замыкания на землю (встроенный прерыватель цепи), соединитель для подачи воды, соединитель для устройства пылеудаления, прочный чемодан."
D215821-XJ,
D21570K-QS,"многопозиционная боковая рукоятка, ограничитель глубины, чемодан."
D215831-XJ,"стойка, упаковка."
D21580K-QS,"дрель алмазного сверления, многопозиционная боковая рукоятка, прочный чемодан."
D21585,"дрель для сверления алмазными коронками, шланг для подачи воды с краном, упаковка."
D215851-XJ,"подставка, упаковка."
DCL030,батарея и зарядное устройство приобретаются отдельно!
DW902,запасная лампа.
DCL510N-XJ,батарея и зарядное устройство приобретаются отдельно!
DCL040-XJ,батарея и зарядное устройство приобретаются отдельно!
 ,
