,Описание
DCL060-XJ,"Аккумуляторный фонарь, 1500 люмен, 18.0 В XR, без батарей и ЗУ"
DCH733N-XJ,"Аккумуляторный бесщеточный перфоратор SDS-Max, 54 В XR FLEXVOLT, макс. Ø48 мм, 3 режима, 15,7 Дж, 2705 уд/мин, 355 об/мин, без аккумуляторов и ЗУ, 8.9 кг"
DCD240N-XJ,"Аккумуляторный миксер строительный , 54 В XR FLEXVOLT, M14(5/8''), 5 скоростей, 0-725 об/мин, шнек в комплекте Ø160 мм,  без аккумуляторов и ЗУ, 5.1 кг"
DCD460N-XJ,"Аккумуляторная угловая дрель, 54 В XR FLEXVOLT, 140 Нм, ключевой патрон 13 мм, 0-300/1250 об/мин, макс. Ø152 мм (дерево), эл.муфта, без аккумуляторов и ЗУ, 4.85 кг"
DCS777N-XJ,"Аккумуляторная бесщеточная торцовочная пила, 54 В XR FLEXVOLT, 6300 об/мин, 216х30 мм, наклон 48°, угол поворота пр./лев.: 50°/50°, макс. глубина реза 80 мм, XPS,  без батареи и ЗУ, 14.0 кг"
DCS778N-XJ,"Аккумуляторная бесщеточная торцовочная пила, 54 В XR FLEXVOLT, 4300 об/мин, 250х30 мм, наклон 48°, угол поворота пр./лев.: 50°/50°, глубина реза 85 мм, XPS,  без батареи и ЗУ, 17.2 кг"
DCB132-QW,"Аккумуляторное универсальное зарядное устройство для 2-х батарей, XR Li-Ion 10.8/14.4/18/54В, 1.2 кг"
DCB547-XJ,"Li-Ion аккумуляторная батарея, 9.0 Ач (совместима с XR 18.0 В), 54 В XR FLEXVOLT "
DCT4103-XJ,"Кабель удлинительный для DCT410, длина 90 см"
DC5001-XJ,Фильтр для пылесоса DC500
DW268K-QS,"Шуруповерт с держателем насадок 1/4"",  540 Вт, регулировка крутящего момента, 4-26 Нм, 0-2500 об/мин, кофр, 1.3 кг"
D215824-XJ,"Водяной нагнетательный насос для алмазных дрелей, 10л"
D215825-XJ,"Крепежный комплект для бетона для установки стоек D215821, D215831, D215851"
D215854-XJ,"Комплект из 5 медных колец для устаноки коронок на дрели D21583K, D21585"
D215804-XJ,"Устройство пылеудаления для алмазных дрелей D21580K, D21582K "
D215826-XJ,"Крепежный комплект для каменной кладки для установки стоек D215821, D215831, D215851"
D215827-XJ,"10 дюбелей для бетона для установки стоек D215821, D215831, D215851"
D215852-XJ,Водосборное кольцо для стойки D215851
D25334K-QS,"Перфоратор SDS-plus, патрон БЗП, 950 Вт, 3 режима, 3,5 Дж,  0-4480 уд./мин., 0-1150 об./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 30+E119 мм, антивибрационная рукоятка, T-STAK, 3.9 кг"
D25415K-QS,"Перфоратор SDS-plus, 1000 Вт, 3 режима, 4.2 Дж, 0-4700 уд./мин., 0-820 об./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 32 мм, антивибрационная рукоятка, кофр, быстрозаменяемый патрон 13 мм, 4.3 кг"
D25602K-QS,"Перфоратор SDS-max, 1250 Вт, 2 режима, 12 Дж,  1430-2840  уд./мин., 210-415 об./мин., 2-х ступенчатая предохранительная муфта CTC для защиты от заклинивания, система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 45 мм,  кофр, 6.9 кг"
D25603K-QS,"Перфоратор SDS-max, 1250 Вт, 2 режима, 12 Дж,  1430-2840  уд./мин., 210-415 об./мин., электронная система UTC и 2-х ступенчатая предохранительная муфта CTC для сверхбыстрой защиты от заклинивания, система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 45 мм,  кофр, 6.9 кг"
D25604K-QS,"Перфоратор SDS-max, 1250 Вт, 2 режима, 12 Дж, бур до Ø45 мм, 1430-2840  уд./мин., 210-415 об./мин., электронная муфта, механическая муфта для сверхбыстрой защиты при заклинивании (система защиты оператора Perform&Protect), активная антивибрационная система AVC, кофр, 6.9 кг"
D25722K-QS,"Перфоратор SDS-max, 1400 Вт, 2 режима, 14 Дж,  1260-2520 уд./мин., 137-275 об./мин., 2-х ступенчатая предохранительная муфта CTC для защиты от заклинивания, система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 48 мм,  кофр, 9.1 кг"
D25723K-QS,"Перфоратор SDS-max, 1400 Вт, 2 режима, 14 Дж,  1260-2520  уд./мин., 137-275 об./мин., электронная система UTC и 2-х ступенчатая предохранительная муфта CTC для сверхбыстрой защиты от заклинивания, система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 48 мм,  кофр, 9.1 кг"
D25761K-QS,"Перфоратор SDS-max, 1500 Вт, 2 режима, 15.5 Дж,  1150-2300 уд./мин., 125-250 об./мин.,  система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 52 мм,  кофр, 9.9 кг"
D25733K-QS,"Перфоратор SDS-max, 1600 Вт, 2 режима, 15.7 Дж, бур до Ø48 мм, 1350-2710 уд./мин., 177-355 об./мин., Антиротационная электронная система (ADS), отключающая электропитание за доли секунды при заклинивания оснастки (система защиты оператора Perform&Protect), индикаторы износа щеток/сервиса, активная антивибрационная система AVC, кофр, 9.3 кг"
D25773K-QS,"Перфоратор SDS-max, 1700 Вт, 2 режима, 22.7 Дж, бур до Ø55 мм, 1105-2210 уд./мин., 145-290 об./мин., Антиротационная электронная система (ADS), отключающая электропитание за доли секунды при заклинивания оснастки (система защиты оператора Perform&Protect), индикаторы износа щеток/сервиса, активная антивибрационная система AVC, кофр, 9.9 кг"
D25301D-XJ,"Система пылеудаления для перфораторов DeWALT SDS-Plus с посадкой 43 или 54 мм, диаметр бура до 16 мм, глубина сверления до 150 мм, длинна бура до 224 мм, шланг 1500 x 35 мм, 1.2 кг"
D250521-XJ,"Боковая рукоятка с подсветкой с посадкой 43 мм для перфораторов: D25013, D25052, DWD522, DWD221"
D25304DH-XJ,Система пылеудаления с Hepa-фильтром для перфораторов DeWALT SDS-Plus D25333K/D25334K
D25300DH-XJ,"Система пылеудаления с Hepa-фильтром  для перфораторов DeWALT SDS-Plus с посадкой 54 мм, D25313, D25314, D25323, D25324, 1.6 кг"
D253241-XJ,"Боковая рукоятка с подсветкой и посадкой 53 мм для перфораторов: D25123, D25324"
D25330K-QS,"Отбойный молоток SDS-plus, 650 Вт, 2.8 Дж, 0-4100 уд./мин., кофр, 3.0 кг"
D25430K-QS,"Отбойный молоток SDS-plus, 1000 Вт, 4.2 Дж,  0-4700 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, кофр, 4.0 кг"
D25810K-QS,"Отбойный молоток SDS-max, 1050 Вт, 8.5 Дж, 3150 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, кофр, 5.6 кг"
D25820K-QS,"Отбойный молоток SDS-max, 1150 Вт, 8 Дж, 2740 уд./мин., кофр, 5.8 кг"
D25831K-QS,"Отбойный молоток SDS-max, 1250 Вт, 8 Дж,  1430-2840 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, кофр, 6.1 кг"
D25871K-QS,"Отбойный молоток SDS-max, 1400 Вт, 11 Дж,  1260-2520 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, кофр, 8.0 кг"
D25872K-QS,"Отбойный молоток SDS-max, 1600 Вт, 17.7 Дж,  1350-2705 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, кофр, 8.0 кг"
D25951K-QS,"Отбойный молоток SDS-max 1600 Вт, 24 Дж (EPTA),  1620 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, долото, кофр, 13.3 кг"
D25941K-QS,"Отбойный молоток HEX 19, 1600 Вт, 22.5 Дж,  1620 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, долото, кофр, 13.8 кг"
D25960K-QS,"Отбойный молоток HEX 28, 1600 Вт, 35 Дж,  1450 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, долото, кофр, 18.4 кг"
D25981-QS,"Отбойный молоток HEX 28, 2100 Вт, 72 Дж,  960 уд./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, 30 кг"
D259811-XJ,Транпортировочная тележка для D25981 и строительных материалов
DWE4557-QS,"Угловая шлифовальная машина, 180 мм, 2400 Вт, 8500 об/мин, система пылеудаления DES, антивибр. боковая рукоятка, самоотключающиеся щетки, 5.5 кг"
DWE492-KS,"Угловая шлифовальная машина, 230 мм, 2200 Вт, 6600 об./мин., 5.2 кг"
D28498-QS,"Угловая шлифовальная машина, 230 мм, 2400 Вт, термозащита от перегрузки, антивибр. боковая рукоятка, выключатель нулевого напряжения, плавный пуск, 5.5 кг"
DW882-QS,"Прямошлифовальная машина,  диск 150х16мм, 1800 Вт, 5600 об/мин, 6.7 кг"
DWE46150-XJ,Кожух защитный на угловую шлифмашину 115/ 125мм для обдирочных работ с пылеотведением
DWE575-KS,"Дисковая ручная пила, 1600 Вт, 5200 об./мин., диск 190х30 мм, глубина пропила 67 мм"
DE6292-XJ,Соединитель для направляющих шин
DWS5022-XJ,Направляющая шина 1.5 м для ручных дисковых пил DWE576K и DWS520K
DWS5021-XJ,Направляющая шина 1 м для ручных дисковых пил DWE576K и DWS520K
DWS5023-XJ,Направляющая шина 2.6 м для ручных дисковых пил DWE576K и DWS520K
DWS5025-XJ,Чехол для 1 м и 1.5 м направляющих шин DWS5021 и DWS5022
DWS5029-XJ,"Сменная противоскольная лента для направляющих шин DWS5021, DWS5022, DWS5023"
DWS5030-XJ,"Сменная верхняя лента с низкими фрикционными свойствами для направляющих шин DWS5021, DWS5022, DWS5023"
DWS5031-XJ,"Адаптер фрезера для направляющих шин DWS5021, DWS5022, DWS5023"
DWS5032-XJ,"Сменная нижняя лента с высокими фрикционными свойствами для направляющих шин DWS5021, DWS5022, DWS5023"
