image,sku,websites,attribute_set,name,category_ids,type,visibility,tax_class_id,status,price,ean,gross_length,gross_width,gross_height,weight,meta_title,meta_description,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti,st_komplektaciya,st_shildik_tip_instrumenta
Картинки,SKU,Стор,Атрибут сет,Название,Категории,Тип товара,Видимость,Налоговый класс,Статус,Цена,EAN,"Длина, см","Ширина, см","Высота, см","Вес, кг",Тайтл,Дискрипшен,Коротко о товаре,Преимущества,Область применения,Особенности,Комплектация,Шильдик тип инструмента
1307252.jpg,DCM561P1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная коса XR 18 В DEWALT DCM561P1-QW,"894 , 897 , 917",simple,"Catalog, Search",None,Enabled,0,5035048615287,172.5,28,22,6.129,Аккумуляторная коса XR 18 В DEWALT DCM561P1-QW DEWALT — купить в официальном магазине,"Купить аккумуляторная коса XR 18 В DEWALT DCM561P1-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>коса аккумуляторная XR 18 В</li><li>вентильный двигатель</li><li>леска 2 мм</li><li>захват 33 см</li><li>аккумулятор XR 18В 5А·ч</li><li>зарядное устройство</li></ul>,,,,<ul><li>коса</li><li>шпуля с леской</li><li>аккумулятор 18 В</li><li>5 А·ч</li><li>зарядное устройство 4 А</li><li>упаковка</li></ul>,аккумуляторный
,DCM571N-XJ,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная коса-кусторез FLEXVOLT 18/54 В DEWALT DCM571N-XJ,"894 , 897 , 917",simple,"Catalog, Search",None,Enabled,0,5035048657362,194,35,25,8.514,Аккумуляторная коса-кусторез FLEXVOLT 18/54 В DEWALT DCM571N-XJ DEWALT — купить в официальном магазине,"Купить аккумуляторная коса-кусторез FLEXVOLT 18/54 В DEWALT DCM571N-XJ на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>коса/кусторез FLEXVOLT 18/54 В</li><li>вентильный двигатель</li><li>леска 2 мм</li><li>захват 38 см</li><li>нож</li><li>без аккумулятора и зарядного устройства</li></ul>,,,,<ul><li>коса</li><li>шпуля с леской</li><li>металлический нож</li><li>ремень</li><li>упаковка</li></ul>,аккумуляторный
,DCM561PB-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная коса XR 18 В DEWALT DCM561PB-QW,"894 , 897 , 917",simple,"Catalog, Search",None,Enabled,0,5035048615324,172.5,28,22,6.129,Аккумуляторная коса XR 18 В DEWALT DCM561PB-QW DEWALT — купить в официальном магазине,"Купить аккумуляторная коса XR 18 В DEWALT DCM561PB-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>коса аккумуляторная XR 18 В</li><li>вентильный двигатель</li><li>леска 2 мм</li><li>захват 33 см</li><li>без аккумулятора и зарядного устройства</li></ul>,,,,<ul><li>коса</li><li>шпуля с леской</li><li>упаковка</li></ul>,аккумуляторный
1307386.jpg,DCM565P1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная цепная пила DEWALT XR DCM565P1,"894 , 897 , 896 , 901 , 934 , 907 , 968 , 921",simple,"Catalog, Search",None,Enabled,0,5035048667576,72,24.2,23.5,6.245,Аккумуляторная цепная пила DEWALT XR DCM565P1 DEWALT — купить в официальном магазине,"Купить аккумуляторная цепная пила DEWALT XR DCM565P1 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>пила</li><li>шина и цепь 30 см</li><li>аккумулятор 18 В</li><li>5 А·ч</li><li>зарядное устройство 8 А</li><li>упаковка</li></ul>,аккумуляторный
1307387.jpg,DCM565N,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная цепная пила DEWALT XR DCM565N,"894 , 897 , 896 , 901 , 934 , 907 , 968 , 921",simple,"Catalog, Search",None,Enabled,0,5035048667569,24,23.5,71.5,5.09,Аккумуляторная цепная пила DEWALT XR DCM565N DEWALT — купить в официальном магазине,"Купить аккумуляторная цепная пила DEWALT XR DCM565N на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>пила</li><li>шина и цепь 30 см</li><li>упаковка</li></ul>,аккумуляторный
1307078.jpg,DCM575X1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная цепная пила FLEXVOLT 18/54 В DEWALT DCM575X1-QW,"894 , 897 , 896 , 901 , 934 , 907 , 968 , 921",simple,"Catalog, Search",None,Enabled,0,5035048659083,91,26.5,25,8.415,Аккумуляторная цепная пила FLEXVOLT 18/54 В DEWALT DCM575X1-QW DEWALT — купить в официальном магазине,"Купить аккумуляторная цепная пила FLEXVOLT 18/54 В DEWALT DCM575X1-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>пила цепная FLEXVOLT 18/54 В</li><li>вентильный двигатель</li><li>шина 40 см</li><li>цепь OREGON 3/8&quot;</li><li>автоматическая подача масла</li><li>аккумулятор FLEXVOLT18 В (9А·ч)/54 В (3А·ч)</li><li>зарядное устройство</li></ul>,,,,<ul><li>пила</li><li>шина и цепь 40 см</li><li>аккумулятор 54 В</li><li>3 А·ч (18 В</li><li>9 А·ч)</li><li>зарядное устройство 8 А</li><li>упаковка</li></ul>,аккумуляторный
1307079.jpg,DCM575N-XJ,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная цепная пила FLEXVOLT 18/54 В DEWALT DCM575N-XJ,"894 , 897 , 896 , 901 , 934 , 907 , 968 , 921",simple,"Catalog, Search",None,Enabled,0,5035048657423,95,26.5,24,6.451,Аккумуляторная цепная пила FLEXVOLT 18/54 В DEWALT DCM575N-XJ DEWALT — купить в официальном магазине,"Купить аккумуляторная цепная пила FLEXVOLT 18/54 В DEWALT DCM575N-XJ на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>пила цепная FLEXVOLT 18/54 В</li><li>вентильный двигатель</li><li>шина 40 см</li><li>цепь OREGON 3/8&quot;</li><li>автоматическая подача масла</li><li>без аккумулятора и зарядного устройства</li></ul>,,,,<ul><li>пила</li><li>шина и цепь 40 см</li><li>упаковка</li></ul>,аккумуляторный
,DCB145,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор XR Li-ion (14.4 В, 1.3 А·ч) DEWALT DCB145","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048461303,13.4,8.7,5.1,0.345,"Аккумулятор XR Li-ion (14.4 В, 1.3 А·ч) DEWALT DCB145 DEWALT — купить в официальном магазине","Купить аккумулятор XR Li-ion (14.4 В, 1.3 А·ч) DEWALT DCB145 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DCB182,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (18.0 В, 4.0 А·ч, Li-Ion) DEWALT DCB182","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5035048392782,13,9,7.5,0.66,"Аккумулятор (18 В, 4 А·ч, Li-Ion) DEWALT DCB182 DEWALT — купить в официальном магазине","Купить аккумулятор (18 В, 4 А·ч, Li-Ion) DEWALT DCB182 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
,DE9091,27,"DEWALT Аккумуляторы, Фонари","Аккумулятор (14.4 В, 2.0 А·ч, NiCd) DEWALT DE9091","894 , 896 , 901 , 939",simple,"Catalog, Search",None,Enabled,0,5011402142774,12,12,8.5,0.9,"Аккумулятор (14.4 В, 2 А·ч, NiCd) DEWALT DE9091 DEWALT — купить в официальном магазине","Купить аккумулятор (14.4 В, 2 А·ч, NiCd) DEWALT DE9091 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,,аккумуляторный
