image,sku,websites,attribute_set,name,category_ids,type,visibility,tax_class_id,status,price,ean,gross_length,gross_width,gross_height,weight,meta_title,meta_description,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti,st_komplektaciya,st_shildik_tip_instrumenta
Картинки,SKU,Стор,Атрибут сет,Название,Категории,Тип товара,Видимость,Налоговый класс,Статус,Цена,EAN,"Длина, см","Ширина, см","Высота, см","Вес, кг",Тайтл,Дискрипшен,Коротко о товаре,Преимущества,Область применения,Особенности,Комплектация,Шильдик тип инструмента
973159.jpg,DWD014S-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Безударная дрель 550 Вт DEWALT DWD014S-QS,"894 , 896 , 1042 , 911 , 944",simple,"Catalog, Search",None,Enabled,5497,5035048269299,26,23.5,7,1.86,Безударная дрель 550 Вт DEWALT DWD014S-QS DEWALT — купить в официальном магазине,"Купить безударная дрель 550 Вт DEWALT DWD014S-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>безударная дрель</li><li>550 Вт</li><li>7.9 Нм</li><li>регулятор оборотов 0-2800 об./мин.</li><li>БЗП патрон 10 мм</li><li>1.34 кг</li></ul>,<ul><li>полностью металлический быстрозажимной патрон с храповиком</li><li>компактная конструкция обеспечивает удобство работы одной рукой и позволяет использовать инструмент в ограниченных пространствах</li><li>низкий вес обеспечивает легкость в использовании и снижает усталость пользователя</li><li>переключатель speed dial обеспечивает постоянный контроль скорости с учетом различных размеров отверстий в различных материалах</li><li>плавная электронная регулировка скорости позволяет пользователю достичь прецизионной точности при сверлении в различных материалах</li><li>отличное сочетание мощность/вес при небольших размерах</li><li>фиксатор включенного состояния дает пользователю возможность держать инструмент постоянно работающим при выполнении поВторяющихся операций</li></ul>,<ul><li>сверление металлов</li><li>небольшие отверстия для клепок</li><li>сверление в пластике и пластмассах</li></ul>,,<ul><li>дрель</li><li>коробка</li></ul>,сетевой
,DW246-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Безударная дрель 701 Вт DEWALT DW246-QS,"894 , 896 , 1042 , 911 , 944",simple,"Catalog, Search",None,Enabled,17243,5011402276745,38.5,23.5,8.2,2.8,Безударная дрель 701 Вт DEWALT DW246-QS DEWALT — купить в официальном магазине,"Купить безударная дрель 701 Вт DEWALT DW246-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>безударная дрель</li><li>701 Вт</li><li>35.8 Нм</li><li>регулятор оборотов 0-850 об./мин.</li><li>БЗП патрон 13 мм с блокировкой шпинделя</li><li>набор из 6 кобальтовых сверл</li><li>1.6 кг</li></ul>,<ul><li>используется при изготовлении стальных деталей в кораблестроении нефтехимической промышленности</li><li>электродвигатель с высокой перегрузочной способностью</li><li>высококачественный 13 мм быстрозажимной патрон с блокировкой шпинделя для быстрой смены принадлежностей одной рукой</li><li>высокий крутящий момент для использования в качестве легкого миксера</li><li>прочный металлический корпус редуктора</li><li>характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства</li><li>усиленное крепление сетевого кабеля</li></ul>,<ul><li>используется при изготовлении стальных деталей</li><li>в кораблестроении</li><li>нефтехимической промышленности</li></ul>,,<ul><li>дрель</li><li>боковая рукоятка</li><li>инструкция</li><li>упаковка</li></ul>,сетевой
665648.jpg,DWD112S-KS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Безударная дрель 701 Вт DEWALT DWD112S-KS,"894 , 896 , 1042 , 911 , 944",simple,"Catalog, Search",None,Enabled,5562,5035048524152,24.5,27.5,8,2.282,Безударная дрель 701 Вт DEWALT DWD112S-KS DEWALT — купить в официальном магазине,"Купить безударная дрель 701 Вт DEWALT DWD112S-KS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>безударная дрель</li><li>701 Вт</li><li>10.9 Нм</li><li>регулятор оборотов 0-2500 об./мин.</li><li>БЗП патрон 10 мм</li><li>1.8 кг</li></ul>,<ul><li>прорезиненная рукоятка для максимального удобства в использовании</li><li>идеальна для сверления оверстий в дереве и металле</li><li>полностью металлический 10 мм. безключевой патрон для быстрой и лёгкой смены принадлежностей</li><li>размер балансировка и вес идеальны для использования одной рукой</li><li>электронная регулировка скорости для удобства работы в различных материалах</li><li>возможность крепления на ремне с помощью специальной скобы</li><li>превосходное соотношение мощности размера и веса</li></ul>,<ul><li>сверление металлов</li><li>небольшие отверстия для клепок</li></ul>,,<ul><li>дрель</li><li>руководство по эксплуатации</li><li>чертеж инструмента в разобранном виде</li><li>упаковка</li></ul>,сетевой
,DW221-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Безударная дрель 701 Вт DEWALT DW221-QS,"894 , 896 , 1042 , 911 , 944",simple,"Catalog, Search",None,Enabled,12645,5011402276622,38.5,23.5,8.2,2.347,Безударная дрель 701 Вт DEWALT DW221-QS DEWALT — купить в официальном магазине,"Купить безударная дрель 701 Вт DEWALT DW221-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>безударная дрель</li><li>701 Вт</li><li>13.8 Нм</li><li>регулятор оборотов 0-4000 об./мин.</li><li>БЗП патрон 10 мм с блокировкой шпинделя</li><li>1.3 кг</li></ul>,<ul><li>обычно используются для работ по дереву алюминию конструкциям из легких сплавов</li><li>электродвигатель с высокой перегрузочной способностью</li><li>высококачественный 10 мм быстрозажимной патрон c блокировкой шпинделя для быстрой смены принадлежностей одной рукой</li><li>прочный металлический корпус редуктора</li><li>характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства</li><li>усиленное крепление сетевого кабеля</li></ul>,<ul><li>используются для работ по дереву</li><li>алюминию</li><li>конструкциям из легких сплавов</li></ul>,,<ul><li>дрель</li><li>руководство по эксплуатации</li><li>сборочный чертеж</li><li>упаковка</li></ul>,сетевой
809523.jpg,DW236I-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Безударная дрель 701 Вт DEWALT DW236I-QS,"894 , 896 , 1042 , 911 , 944",simple,"Catalog, Search",None,Enabled,14785,5035048196267,38.2,23.6,8.2,2.766,Безударная дрель 701 Вт DEWALT DW236I-QS DEWALT — купить в официальном магазине,"Купить безударная дрель 701 Вт DEWALT DW236I-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>безударная дрель</li><li>701 Вт</li><li>35.8 Нм</li><li>регулятор оборотов 0-850 об./мин.</li><li>БЗП патрон 13 мм с блокировкой шпинделя</li><li>набор из 6 кобальтовых сверл</li><li>1.6 кг</li></ul>,<ul><li>наивысшая производительность при сверлении больших отверстий в нержавеющей стали и чугуне благодаря низкой скорости вращения</li><li>электродвигатель с высокой перегрузочной способностью</li><li>высококачественный 13 мм быстрозажимной патрон с блокировкой шпинделя для быстрой смены принадлежностей одной рукой</li><li>прочный металлический корпус редуктора</li><li>характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства</li><li>усиленное крепление сетевого кабеля</li><li>примененяется при сверлении металлических конструкций (в том числе из нержавеющей стали) установке отопительных систем и вентиляционных каналов</li></ul>,<ul><li>работы по сверлению в металлах и сплавах</li><li>установка труб</li><li>строительство металлических заборов</li></ul>,,<ul><li>дрель</li><li>руководство по эксплуатации</li><li>сборочный чертеж</li><li>многопозиционная боковая рукоятка</li><li>шесть кобальтовых сверл</li></ul>,сетевой
1287173.jpg,DW217-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Безударная дрель 675 Вт DEWALT DW217-QS,"894 , 896 , 1042 , 911 , 944",simple,"Catalog, Search",None,Enabled,12848,5011402276585,38.5,23.5,8,2.14,Безударная дрель 675 Вт DEWALT DW217-QS DEWALT — купить в официальном магазине,"Купить безударная дрель 675 Вт DEWALT DW217-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>безударная дрель</li><li>675 Вт</li><li>8.2 Нм</li><li>регулятор оборотов 0-4000 об./мин.</li><li>БЗП патрон 10 мм</li><li>1.2 кг</li></ul>,<ul><li>идеальна для получения оптимальных результатов сверления с высокой скоростью сверлами небольшого диаметра в тонком металле алюминии или твердых породах дерева</li><li>электродвигатель с высокой перегрузочной способностью</li><li>10 мм быстрозажимной патрон для быстрой и легкой смены сверл</li><li>прочный металлический корпус редуктора</li><li>характерные для инструмента DEWALT мягкие накладки на рукоятке и выключателе для большего удобства</li><li>идеально сбалансирована и имеет небольшой вес</li><li>усиленное крепление сетевого кабеля</li></ul>,<ul><li>идеальна для получения оптимальных результатов сверления с высокой скоростью сверлами небольшого диаметра в тонком металле</li><li>алюминии или твердых породах дерева</li></ul>,,<ul><li>дрель</li><li>руководство по эксплуатации</li><li>сборочный чертеж</li><li>упаковка</li></ul>,сетевой
1254906.jpg,D21520-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Дрель-миксер 710 Вт DEWALT D21520-QS,"894 , 896 , 945 , 911 , 944",simple,"Catalog, Search",None,Enabled,16405,5035048139219,33.5,28,12.5,4.18,Дрель-миксер 710 Вт DEWALT D21520-QS DEWALT — купить в официальном магазине,"Купить дрель-миксер 710 Вт DEWALT D21520-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>дрель-миксер</li><li>710 Вт</li><li>50 Нм</li><li>регулятор оборотов 0-550 об./мин.</li><li>ключевой патрон 13 мм</li><li>3.4 кг</li></ul>,<ul><li>регулировка скорости и реверс для широкого применения</li><li>550 об/мин создают высокий крутящий момент и обеспечивают уверенное сверление и смешивание</li><li>прочный корпус и металлический редуктор увеличивают надежность и долговечность</li><li>дополнительные 2-х позиционная задняя и 3-х позиционная боковая рукоятки обеспечивают дополнительный комфорт при работе</li></ul>,<ul><li>отлично подходит для различных применений смешивания т.е. гипсокартон соединения минометы и красок с перемешиванием весло до 160мм</li><li>сверление отверстий в древесине до 40 мм</li><li>сверления в древесине до 65 мм</li><li>сверления в древесине диаметром до 40 мм</li><li>сверление коронкой в дереве диаметорм до127 мм</li><li>cверлениt в стали до 13 мм</li><li>сверление коронкой в стали диаметорм до 76 мм</li></ul>,,<ul><li>дрель-миксер</li><li>3-х позиционная боковая рукоятка</li><li>2-х позиционная задняя рукоятка</li><li>ключ патрона с держателем</li></ul>,сетевой
,DW152,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Дрель-миксер DEWALT DW152,"894 , 896 , 945 , 911 , 944",simple,"Catalog, Search",None,Enabled,0,5011402286577,35,55,13.5,8.94,Дрель-миксер DEWALT DW152 DEWALT — купить в официальном магазине,"Купить дрель-миксер DEWALT DW152 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>боковые рукоятки - 2 шт</li><li>плечевой упор</li><li>адаптер патрона</li><li>ключ</li></ul>,сетевой
1287482.jpg,D21510-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Дрель-миксер 710 Вт DEWALT D21510-QS,"894 , 896 , 945 , 911 , 944",simple,"Catalog, Search",None,Enabled,17573,5035048139240,33.2,27.5,12.2,3.835,Дрель-миксер 710 Вт DEWALT D21510-QS DEWALT — купить в официальном магазине,"Купить дрель-миксер 710 Вт DEWALT D21510-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>дрель-миксер</li><li>710 Вт</li><li>50 Нм</li><li>регулятор оборотов 0-550 об./мин.</li><li>патрон М14</li><li>3.0 кг</li></ul>,<ul><li>идеально подходит для смешивания краски бетона и т.д.</li><li>без реверса</li><li>550 об/мин обеспечивают высокий крутящий момент</li><li>применяется со всеми смесителями диаметром до 160 мм (резьба м14)</li><li>2-х позиционная задняя и 3-х позиционная боковая рукоятки</li></ul>,<ul><li>для изготовления и перемешивания различных смесей</li><li>краска плитка цемент раствор</li></ul>,,<ul><li>дрель-миксер</li><li>трехпозиционная боковая рукоятка</li><li>двухпозиционная задняя рукоятка</li><li>адаптер М14</li><li>упаковка</li></ul>,сетевой
981826.jpg,D21160-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Угловая дрель 350 Вт DEWALT D21160-QS,"894 , 896 , 911 , 944",simple,"Catalog, Search",None,Enabled,14677,5035048150085,32.5,14.9,18,2.34,Угловая дрель 350 Вт DEWALT D21160-QS DEWALT — купить в официальном магазине,"Купить угловая дрель 350 Вт DEWALT D21160-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>угловая дрель</li><li>350 Вт</li><li>регулятор оборотов 0-1200 об/мин</li></ul>,<ul><li>специально разработана для работы в труднодоступных местах</li><li>компактный и легкий дизайн</li><li>большой выключатель обеспечивает высокую эргономику и снижает усталость при работе</li><li>высокий крутящий момент обеспечивает сверление большими диаметрами</li><li>высококачественный 10 мм ключевой патрон обеспечивает точность и надёжность</li><li>электронная регулировка скорости</li><li>электронная регулировка скорости</li></ul>,<ul><li>специально разработана для работы в труднодоступных местах</li></ul>,,<ul><li>патронный ключ</li><li>коробка</li></ul>,сетевой
1254894.jpg,DWD522KS-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 950 Вт DEWALT DWD522KS-QS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,17485,5035048305393,41,35,11,5.2,Ударная дрель 950 Вт DEWALT DWD522KS-QS DEWALT — купить в официальном магазине,"Купить ударная дрель 950 Вт DEWALT DWD522KS-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>950 Вт</li><li>2 скорости</li><li>регулятор оборотов 0-1250/3500 об./мин.</li><li>макс. момент  40/20 Нм</li><li>0-56000 уд./мин.</li><li>ограничитель глубины</li><li>защита от перегрузки</li><li>БЗП патрон 13 мм</li><li>кофр</li><li>2.8 кг</li></ul>,<ul><li>улучшенные характеристики сверления благодаря новому двигателю</li><li>уникальный совмещённый переключатель скорости и режимов работы</li><li>2-х скоростной редуктор в металлическом корпусе для сверления разных материалов</li><li>механическая предохранительная муфта обеспечивает контроль и защиту пользователя</li><li>прочный 13-миллиметровый быстрозажимной стальной патрон для быстрой смены принадлежностей</li><li>новый чувствительный выключатель переменной скорости позволяет пользователю аккуратно начинать сверление</li><li>прорезиненная задняя рукоятка для удобства пользователя</li></ul>,<ul><li>сверление с ударом</li><li>сверление металла</li><li>различные возможности применения (см. таблицу)</li></ul>,,<ul><li>многопозиционная боковая рукоятка</li><li>ограничитель глубины сверления</li><li>чемодан</li></ul>,сетевой
,DWD024KS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель DEWALT DWD024KS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,0,5035048268209,34,32.5,8.5,3.374,Ударная дрель DEWALT DWD024KS DEWALT — купить в официальном магазине,"Купить ударная дрель DEWALT DWD024KS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>ударная дрель</li><li>боковая рукоятка</li><li>ограничитель глубины сверления</li><li>чемодан</li></ul>,сетевой
,DWD530KS-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 1300 Вт DEWALT DWD530KS-QS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,20870,5035048305423,45,35,11,5.19,Ударная дрель 1300 Вт DEWALT DWD530KS-QS DEWALT — купить в официальном магазине,"Купить ударная дрель 1300 Вт DEWALT DWD530KS-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>1300 Вт</li><li>2 скорости</li><li>регулятор оборотов 0-1250/3500 об./мин.</li><li>макс. момент  40/20 Нм</li><li>0-56000 уд./мин.</li><li>ограничитель глубины</li><li>защита от перегрузки</li><li>Perform Protect</li><li>БЗП патрон 13 мм</li><li>кофр</li><li>2.8 кг</li></ul>,<ul><li>улучшенные характеристики сверления благодаря новому двигателю</li><li>2-х скоростной редуктор в металлическом корпусе для сверления разных материалов</li><li>электромеханическая предохранительная муфта обеспечивает контроль и защиту пользователя</li><li>уникальный совмещённый переключатель скорости и режимов работы</li><li>прочный 13-миллиметровый быстрозажимной стальной патрон для быстрой смены принадлежностей</li><li>чувствительный выключатель переменной скорости позволяет пользователю точно выбирать скорость сверления и начинать сверлить отверстие</li><li>прорезиненная задняя рукоятка обеспечивает комфорт при работах по сверлению и сверлению с ударом</li><li>электронная муфта обеспечивает защиту от перегрузки</li></ul>,<ul><li>сверление с ударом</li><li>сверление металла</li><li>различные возможности применения (см. таблицу)</li></ul>,,<ul><li>ударная дрель</li><li>многопозиционная боковая рукоятка</li><li>ограничитель глубины сверления</li><li>чемодан</li></ul>,сетевой
,D21721K-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 650 Вт DEWALT D21721K-QS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,0,5035048129166,32,49,12.4,4.14,Ударная дрель 650 Вт DEWALT D21721K-QS DEWALT — купить в официальном магазине,"Купить ударная дрель 650 Вт DEWALT D21721K-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>650 Вт</li><li>2 скорости</li><li>регулятор оборотов 0-1100/2600 об./мин.</li><li>макс. момент  30/12 Нм</li><li>0-19000/44200 уд./мин.</li><li>ограничитель глубины</li><li>БЗП патрон 13 мм</li><li>кофр</li><li>2.1 кг</li></ul>,<ul><li>компактный дизайн и низкий вес</li><li>2-х скоростной редуктор для увеличения крутящего момента</li><li>электронная регулировка скорости и реверс</li><li>дополнительная пылезащита выключателя</li></ul>,<ul><li>сверление в бетоне каменной кладке стали и дереве</li><li>крепеж</li></ul>,,<ul><li>быстрозажимной патрон</li><li>чемодан</li><li>многопозиционная рукоятка</li><li>ограничитель глубины сверления</li></ul>,сетевой
,D21720,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель DEWALT D21720,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,0,5035048129098,38.5,23.2,8,2.962,Ударная дрель DEWALT D21720 DEWALT — купить в официальном магазине,"Купить ударная дрель DEWALT D21720 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>ключевой патрон</li><li>патронный ключ</li><li>многопозиционная рукоятка</li><li>ограничитель глубины сверления</li><li>коробка</li></ul>,сетевой
,D21716,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель DEWALT D21716,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,0,5035048135822,23.7,38.5,8.5,2.68,Ударная дрель DEWALT D21716 DEWALT — купить в официальном магазине,"Купить ударная дрель DEWALT D21716 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>ключевой патрон</li><li>патронный ключ</li><li>многопозиционная боковая рукоятка</li><li>ограничитель глубины сверления</li></ul>,сетевой
,D21717K,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель DEWALT D21717K,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,0,5035048135860,48,35,12,3.886,Ударная дрель DEWALT D21717K DEWALT — купить в официальном магазине,"Купить ударная дрель DEWALT D21717K на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>дополнительная рукоятка</li><li>ограничитель глубины сверления</li><li>чемодан</li><li>быстрозажимной патрон</li></ul>,сетевой
,D21805-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 770 Вт DEWALT D21805-QS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,13381,5035048153352,23.5,38.5,8,3.28,Ударная дрель 770 Вт DEWALT D21805-QS DEWALT — купить в официальном магазине,"Купить ударная дрель 770 Вт DEWALT D21805-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>770 Вт</li><li>2 скорости</li><li>регулятор оборотов 0-1100/2700 об./мин.</li><li>макс. момент  40/20 Нм</li><li>0-18700/45900 уд./мин.</li><li>ограничитель глубины</li><li>ключевой патрон 13 мм</li><li>кофр</li><li>2.3 кг</li></ul>,<ul><li>2-х скоростной редуктор для увеличения крутящего момента</li><li>улучшенные характеристики сверления благодаря новому двигателю</li><li>улучшенная эргономика обеспечиваемая новым полимерным корпусом редуктора и прорезиненными накладками</li><li>новая конструкция переключения передач редуктора для увеличения срока службы</li><li>запатентованная система поддержки якоря</li></ul>,<ul><li>сверление с ударом</li><li>сверление металла</li><li>шлифование</li></ul>,,<ul><li>многопозиционная боковая рукоятка</li><li>ограничитель глубины сверления</li><li>ключевой патрон</li><li>патронный ключ</li></ul>,сетевой
1141330.jpg,DWD024-KS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 701 Вт DEWALT DWD024-KS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,4806,5035048524138,31.7,7.8,25.5,2.63,Ударная дрель 701 Вт DEWALT DWD024-KS DEWALT — купить в официальном магазине,"Купить ударная дрель 701 Вт DEWALT DWD024-KS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>701 Вт</li><li>регулятор оборотов 0-2800 об/мин</li><li>макс. момент 8.6 Нм</li><li>47600 уд./мин.</li><li>кнопка блокировки включения</li><li>ограничитель глубины</li><li>ключевой патрон 13 мм 1.82кг</li></ul>,<ul><li>малый вес дрели обеспечивает удобство использования и снижает усталость пользователя</li><li>компактный дизайн позволяет работать в труднодоступных местах</li><li>превосходное соотношение мощности и размеров дрели</li><li>выключатель с плавной регулировкой скорости позволяет сверлить отверстия с высокой точностью</li><li>прорезиненная рукоятка обеспечивает комфортное сверление с/без удара</li><li>блокировка выключателя позволяет работать с постоянно включенным вращением</li></ul>,<ul><li>сверление в бетоне каменной кладке стали и дереве</li><li>крепеж</li></ul>,,<ul><li>патронный ключ</li><li>многопозиционная боковая рукоятка</li><li>ограничитель глубины сверления</li></ul>,сетевой
1336772.jpg,DWD024S-KS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 701 Вт DEWALT DWD024S-KS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,5497,5035048524145,31.5,8,25.5,2.53,Ударная дрель 701 Вт DEWALT DWD024S-KS DEWALT — купить в официальном магазине,"Купить ударная дрель 701 Вт DEWALT DWD024S-KS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>701 Вт</li><li>регулятор оборотов 0-2800 об/мин</li><li>макс. момент 8.6 Нм</li><li>47600 уд./мин.</li><li>кнопка блокировки включения</li><li>ограничитель глубины</li><li>БЗП патрон 13 мм 1.82кг</li></ul>,<ul><li>малый вес дрели обеспечивает удобство использования и снижает усталость пользователя при работе</li><li>компактный дизайн позволяет работать в труднодоступных местах</li><li>превосходное соотношение мощности и размеров дрели</li><li>выключатель с плавной регулировкой скорости позволяет сверлить отверстия с высокой точностью</li><li>прорезиненная рукоятка обеспечивает комфортное сверление с/без удара</li><li>блокировка выключателя позволяет работать с постоянно включенным вращением</li><li>быстрозажимной патрон для легкой смены принадлежностей</li></ul>,<ul><li>сверление в бетоне каменной кладке стали и дереве</li><li>крепеж</li></ul>,,<ul><li>боковая рукоятка</li><li>ограничительглубины сверления</li></ul>,сетевой
839810.jpg,DWD524KS-QS,27,"DEWALT Дрели-шуруповерты (гайковерты, граверы, дрели, перфораторы, шуруповерты)",Ударная дрель 1100 Вт DEWALT DWD524KS-QS,"894 , 896 , 1043 , 911 , 944",simple,"Catalog, Search",None,Enabled,18673,5035048305256,45,36,11,5.196,Ударная дрель 1100 Вт DEWALT DWD524KS-QS DEWALT — купить в официальном магазине,"Купить ударная дрель 1100 Вт DEWALT DWD524KS-QS на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>ударная дрель</li><li>1100 Вт</li><li>2 скорости</li><li>регулятор оборотов 0-1250/3500 об./мин.</li><li>макс. момент  40/20 Нм</li><li>0-56000 уд./мин.</li><li>ограничитель глубины</li><li>защита от перегрузки</li><li>БЗП патрон 13 мм</li><li>кофр</li><li>2.8 кг</li></ul>,<ul><li>улучшенные характеристики сверления благодаря новому двигателю</li><li>уникальный совмещённый переключатель скорости и режимов работы</li><li>2-х скоростной редуктор в металлическом корпусе для сверления разных материалов</li><li>механическая предохранительная муфта обеспечивает контроль и защиту</li><li>прочный 13-миллиметровый быстрозажимной стальной патрон для быстрой смены принадлежностей</li><li>новый чувствительный выключатель переменной скорости позволяет пользователю аккуратно начинать сверление</li><li>прорезиненная рукоятка для лучшего баланса и комфорта</li></ul>,<ul><li>сверление с ударом</li><li>сверление металла</li><li>различные возможности применения (см. таблицу)</li></ul>,,<ul><li>многопозиционная боковая рукоятка</li><li>ограничитель глубины сверления</li><li>чемодан</li></ul>,сетевой
