sku,st_vykhodnaya_moshchnost,st_chislo_hodov_holostoy_hod,st_tip_patrona,st_maxdiam_sverleniya_derevo,st_derzhatel_nasadki,st_potreb_moshnost,st_max_krutyashchiy_moment,st_maxdiam_sverleniya_metal,st_rezba_spindelya,st_uroven_vibratsii_sverleniye,st_uroven_shuma,st_akusticheskaya_moshchnost,st_maxdiam_sverleniya_beton,st_maxdiam_sverleniya_kirpich,st_diametr_koltsa,st_uroven_vibratsii,st_dlina_stoyki,st_max_d_sverl_vodosborn,st_max_chastota_udarov,st_vibraciya_priudare,st_diametr_diska,st_posad_diametr,st_max_glubina_reza,st_maxsila_udara,st_max_d_sverl_pol_koron,st_chisl_oborot_pod_nagr,st_max_diam_sverl_prokh_bur,st_rabochiy_hod_frezi,st_razmer_cangi,st_maz_diam_frezi,st_chislo_oborotov,st_chastota_kolebaniy,st_razmer_shlifov_podosh,st_rashod_vozduha,st_max_skor_dvizh_lenty,st_razmer_lenty,st_maxglubina_chetverti,st_maxshirina_obrabotki,st_razmer_shlifov_podosh,st_diametr_barabana,st_chislo_oborotov,st_diametr_posad_otverstoya,st_ugol_naklona,st_regulirovka_stola,st_tip_accumulatora,st_napryazheniye_akkumulyatora,st_emkost_accumulatora,st_diametr,st_max_chastota_udarov,st_max_diametr_bolta,st_maxvrash_moment_zhestk,st_maxvrash_moment_myagk,st_max_chastota_udarov,st_chislo_khod_bez_nagr,st_velichina_hoda,st_tolshchina_propila,st_tolshchina_diska,st_ugol_zatochki,st_dlina_lezviya,st_rabochaya_dlina,st_shag_zuba,st_kolichestvo,st_tolshina_mm,st_max_glubina_reza,st_napravlenie_luchey,st_vidimost_lucha,st_max_glub_prop_derev,st_max_glub_prop_stal,st_max_glub_prop_plast,st_max_glub_prop_metall,st_max_glub_prop_cv_metall,st_uroven_vibratsii,st_max_vysota_reza,st_shirina_rezaniya_mm,st_skorost_rezaniya,st_razmer_rab_stola,st_dlina_polotna,st_vremya_ostanovki_polotna,st_obyem_baka,st_rashod_vozduha
D25133K-KS,640,1500,SDS-Plus,30,,800,,13,,,89,"100,1",26,,,,,,5500,,,,,"2,9",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25134K-KS,640,1500,SDS-Plus,30,3,800,,13,,,89,"100,1",26,,,,,,5540,,,,,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25144K-KS,700,1450,SDS-Plus,30,,900,,13,,,89,"100,1",28,,,,,,5350,,,,,"3,2",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25263K-QS,700,1450,SDS-Plus,30,,900,,13,,,89,"100,1",28,,,,,,5350,,,,,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25300DH-XJ,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25301D-XJ,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25323K-QS,395,1150,SDS-Plus,30,,800,,13,,,"85,4","99,4",26,,,,,,4300,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25324K-QS,395,1150,SDS-Plus,30,,800,,13,,,"85,4","99,4",26,,,,,,4300,,,,,"3,4",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25330K-QS,400,,SDS-Plus,,3,650,,,,,87,105,- ,,,,,,4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25413K-QS,450,820,SDS-Plus,32,,1000,,13,,,86,97,32,,,,,,4700,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25415K-QS,450,820,SDS-Plus,32,,1000,,13,,,86,97,32,,,,,,4700,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25430K-QS,450,,SDS-Plus,,4,1000,,,,,86,97,,,,,,,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25501K-QS,500,,SDS-Max,,,1100,,,,,94,104,40,,,,,,2740,,,,,11,90,400,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25601K-QS,615,,SDS-Max,,,1250,,,,,92,103,45,,,,,,2840,,,,,12,100,415,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25602K-QS,615,,SDS-Max,,,1250,,,,,93,104,45,,,,,,2840,,,,,12,100,415,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25603K-QS,615,,SDS-Max,,,1250,,,,,93,104,45,,,,,,2840,,,,,12,100,415,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25721K-QS,840,,SDS-Max,,,1350,,,,,96,107,48,,,,,,2450,,,,,11,115,265,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25722K-QS,840,,SDS-Max,,,1400,,,,,95,106,48,,,,,,2520,,,,,11,125,275,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25723K-QS,840,,SDS-Max,,,1400,,,,,95,106,48,,,,,,2520,,,,,11,125,275,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25762K-QS,980,,SDS-Max,,,1500,,,,,96,107,52,,,,,,2300,,,,,18,150,250,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25763K-QS,980,,SDS-Max,,,1500,,,,,96,107,52,,,,,,2300,,,,,18,150,250,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25820K-QS,500,,SDS-Max,,,1150,,,,,94,104, ,,,,,,2740,,,,,8, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25831K-QS,615,,SDS-Max,,,1250,,,,,91,102,- ,,,,,,2840,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25871K-QS,840,,SDS-Max,,8,1400,,,,,93,104,НД ,,,,,,2520,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25899K-QS,750,,SDS-Max,,,1500,,,,,86,100,,,,12,,,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25902K-QS,750,,SDS-Max,,,1550,,,,,89,100,,,,,,,2100,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25941K-QS,790,,шестигранный,,,1600,,,,,91,102,,,,,,,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25960K-QS,1000,,шестигранный,,,1600,,,,,91,102,,,,,,,1450,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D25961K-QS,1000,,шестигранный,,,1600,,,,,91,102,,,,,,,1450,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
