sku,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti
DCF830M2-QW,"14.4 В XR импульсный гайковерт, 1/2"", 245 Вт, 185 Нм, 0 - 2300 об./мин.,  0 - 2700 уд./мин., тройная LED подсветка, 2 XR Li-Ion батареи 4.0 А·ч, з/у, кофр, 1.55 кг","Мощный 14,4 В XR Li-Ion ударный гайковерт последнего поколения с новыми уникальными аккумуляторами технологии XR Li-Ion 4.0 Ач
Сверх компактный, легкий дизайн позволяет использовать инструмент в узких пространствах
Кольцевая светодиодная подсветка обеспечивает максимальное оcвещение рабочей зоны и возможность использования в качестве фонарика
Интеллектуальный выключатель со встроенной электроникой, обеспечивающий полный контроль над инструментом
Улучшенная эргономика и обрезиненная рукоятка обеспечивают контроль над инструментом и комфорт пользователя
Полностью металлический редуктор для лучшей передачи энергии и увеличения срока службы инструмента
Металлический корпус редуктора обеспечивает эффективное рассеивание высокой температуры, увеличивая срок службы инструмента
1/2"" (12.7 мм) квадратный держатель для более эффективной передачи крутящего момента и надежной фиксации насадки
Универсальное зарядное устройство позволяет заряжать 18.0В, 14,4В и 10,8В XR Li-Ion сдвижные батареи
Инструмент из новой интеллектуальной литий-ионной Серии XR, разработанной для эффективного и быстрого выполнения работы









","Разнообразные крепежные работы по заворачиванию в дереве, металле и бетоне
Скобяные изделия, сборка конструкций и различные ремонтные работы
Сборка воздуховодов, кондиционирования воздуха и системы центрального отопления
Ремонт автомобилей
Рамная конструкция, металлическая конструкция стеллажей и крепление муфты














",
DCF889M2,,,,
DCF880N,,,,
DCF899P2-QW,"18.0 В XR импульсный гайковерт, 1/2"", 610 Вт, 3 скорости: 135/400/950 Нм,  0 - 400 / 1200 /1900 об./мин.,  0 - 2400 уд./мин., тройная LED подсветка, 2 XR Li-Ion батареи 5.0 А·ч, з/у, кофр, 3.3 кг","Мощный 18.0 В ударный гайковерт последнего поколения с новыми уникальными аккумуляторами технологии XR Li-Ion 5.0 Ач
Надежный, охлаждаемый вентилятором электродвигатель развивает момент до 950 Нм и обеспечивает 2400 ударов в минуту
Максимальный динамический момент на откручивании 1626 Нм позволяет снимать сильно окислившиеся или туго затянутые гайки.
Три скорости позволяют пользователю подбирать соответствующий крутящий момент для разных видов работ
1/2"" (13 мм) квадратный держатель для более эффективной передачи крутящего момента и надежной фиксации насадки
Ярко-белая светодиодная подсветка улучшает видимость в условиях слабой освещенности и использования в качестве фонаря
Прорезиненные эргономичная рукоятка XR и удобный профилированный выключатель для большего комфорта и максимального контроля над инструментом
Модульная конструкция обеспечивает легкий доступ к ключевым компонентам инструмента











","Крепёж мелких металлические конструкций
Крепеж колеса, панели, части транспортных средств
Крепление кроншитейнов в бетоне, кирпиче и т.д.
Крепление кровли к металлическим балкам
Крепление швеллеров к стене
Крепеж  опалубки для изготовления бетонных конструкций
Крепление экструдированного металлического листа и металлических каркасов для кровли
Крепление сэндвич-панелей внутри и на крышах зданий











",
DCF880M2-QW,"18.0 В XR импульсный гайковерт, 1/2"", 250 Вт, 203 Нм, 0 - 2300 об./мин.,  0 - 2700 уд./мин., тройная LED подсветка, 2 XR Li-Ion батареи 4.0 А·ч, з/у, кофр, 1.62 кг","Мощный 18.0 В XR Li-Ion ударный гайковерт последнего поколения с новыми уникальными аккумуляторами технологии XR Li-Ion 4.0 Ач
Сверх компактный, легкий дизайн позволяет использовать инструмент в узких пространствах
Кольцевая светодиодная подсветка обеспечивает максимальное оcвещение рабочей зоны и возможность использования в качестве фонарика
Интеллектуальный выключатель со встроенной электроникой, обеспечивающий полный контроль над инструментом
Улучшенная эргономика и обрезиненная рукоятка обеспечивают контроль над инструментом и комфорт пользователя
Полностью металлический редуктор для лучшей передачи энергии и увеличения срока службы инструмента
Металлический корпус редуктора обеспечивает эффективное рассеивание высокой температуры, увеличивая срок службы инструмента
1/2"" (12.7 мм) квадратный держатель для более эффективной передачи крутящего момента и надежной фиксации насадки
Универсальное зарядное устройство позволяет заряжать 18.0В, 14,4В и 10,8В XR Li-Ion сдвижные батареи
Инструмент из новой интеллектуальной литий-ионной Серии XR, разработанной для эффективного и быстрого выполнения работы









","Разнообразные крепежные работы по заворачиванию в дереве, металле и бетоне
Скобяные изделия, сборка конструкций и различные ремонтные работы
Сборка воздуховодов, кондиционирования воздуха и системы центрального отопления
Ремонт автомобилей
Рамная конструкция, металлическая конструкция стеллажей и крепление муфты














",
DW294-QS,"импульсный гайковерт, 3/4"", 710 Вт, 440 Нм,  2200 об./мин.,  2700 уд./мин., 3.2 кг","Максимальный крутящий момент 440 Нм в прямом и реверсивном вращениях
Прочный 3/4"" держатель
Компактный дизайн, легкий вес
Прорезиненная рукоятка снижает уровень вибраций и повышает удобство работы
Прочный дизайн увеличивает надежность инструмента














","Тяжелая промышленность
Установка стелажей
Монтаж труб
















",
DW292-QS,"импульсный гайковерт, 1/2"", 710 Вт, 440 Нм,  2200 об./мин.,  2700 уд./мин., 3.2 кг","Максимальный крутящий момент 440 Нм в прямом и реверсивном вращениях
Высокие показатели момента и скорости вращения увеличивают производительность работы
Прорезиненная рукоятка снижает уровень вибраций и повышает удобство работы
Прочный дизайн увеличивает надежность инструмента















","Тяжелая промышленность
Установка стелажей
Монтаж труб
















",
D28885,,,,
D28886,,,,
DWE4884-QS,"прямошлифовальная машина, 450Вт, цанга 6 мм, 25000 об/мин, 1.6 кг","Длинная обрезиненная носовая часть позволяет с комфортом работать даже в самых затруднённых местах.
Прецизионная цанга исключает биение рабочего инструмента и обеспечивает высокое качество обработки материала
Мощный 450 Вт мотор позволяет качественно выполнять большинство типов работ.
Тонкая эргономичная форма носового держателя обеспечивает удобство и комфорт при выполнении прямого шлифования.
Низкая степень нагрева корпуса инструмента позволяет выполнять работу продолжительное время.
Удобный сдвижной выключатель позволяет легко управлять инструментом
Легко обслуживаемая конструкция инструмента.
Самоотключающиеся щетки увеличивают срок службы двигателя
Поток охлаждающего воздужа направлен в сторону от пользователя, что повышает комфорт при выполнении работ.










",Шлифование материала,
