sku,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti
D25899K-QS,"отбойный молоток SDS-max, 1500 Вт, 17.9 Дж, 2040 уд./мин., кофр, 9.9 кг","Мощный и надежный электродвигатель 1500 Вт обеспечивает высокую производительность
Простое управление скользящим кольцом патрона позволяет быстро и легко устанавливать долото в 12 различных позициях, обеспечивая его надежную фиксацию
Корпус из легкого, магниевого сплава для снижения веса и увеличения надежности
Компактный линейный дизайн позволяет работать в труднодоступных местах
Мощный ударный механизм обеспечивает высокую производительность работы
Эргономичный корпус линейной конструкции обеспечивает легкое и удобное его использование
Модульная конструкция для быстрого и легкого доступа к ключевым компонентам инструмента
Многопозиционная боковая рукоятка обеспечивает удобное использование инструмента











","Долбление полов
Демонтаж дорог и тротуаров
Долбёжные работы в стенах для установки окон и дверей
Долбёжные потолочные работы для укладки трубопроводов или электрических работ
Демонтаж стен














",
D25820K-B5,"отбойный молоток SDS-max, 1150 Вт, 8 Дж, 2740 уд./мин., кофр, 5.8 кг","Идеален для легкого разрушения, подготовки поверхности или вырубка углублений и открытых каналов в кирпиче, каменной кладке и легком бетоне
Полностью герметичный редуктор в масляной ванне увеличивает надежность и производительность, гарантирует полную смазку компонентов и превосходное рассеивание высокой температуры в редукторе
Превосходное соотношение мощность/вес: энергия удара 8 Дж (по EPTA 05/2009) при весе отбойного молотка 5.8 кг
Установка долота в 18 различных положениях обеспечивает работу под любым углом при любых работах
Эргономичная, компактная конструкция обеспечивает удобство работы в труднодоступных местах
Уникальная система уплотнений для защиты от попадания пыли в ударный механизм обеспечивает высокую производительность и долгий срок службы инструмента
Эффективный механизм передаёт энергию удара непосредственно на долото без потерь на вибрацию и уменьшает отдачу инструмента
Мягкая прорезиненная рукоятка для удобства пользователя











","Лёгкие долбёжные работы по кирпичу или каменной кладке и бетону
Долбёжные работы в стенах для установки кабеля и труб
Долбёжные работы в стенах для установки кабеля и труб
Ремонт напольных покрытий и стен















",
D25961K-QS,"отбойный молоток HEX 30, 1600 Вт, 35 Дж,  1450 уд./мин., AVC, долото, кофр, 16.9 кг","Самая высокая производительность благодаря оптимальному балансу мощности, энергии удара и вибрации
Активная антивибрационная система AVC и подпружиненная задняя рукоятка обеспечивают самый низкий уровень вибрации в 16-килограммовом классе и самое длительное время непрерывной работы
На 50 % более длинные сервисные интервалы, чем у ближайшего конкурента, что позволяет снизить суммарные эксплуатационные расходы и экономить время
Прочная и надежная конструкция обеспечивает долгий срок службы инструмента
Плавный пуск обеспечивает удобство в начале работы














","


















",
D25501K-QS,"перфоратор SDS-max, 1100 Вт, 2 режима, 11 Дж,  2740  уд./мин., 400 об./мин.,  Ø бура до 40 мм,  кофр, 6.1 кг","Идеально подходит для сверления отверстий в бетоне, каменной и кирпичной кладке бурами диаметром 12-40 мм и полыми коронками до 90 мм
Цепная передача, в сочетании с редуктором в масляной ванне, увеличивает надежность и производительность, гарантирует полную смазку компонентов и превосходное рассеивание высокой температуры в редукторе
Эргономичная, компактная конструкция обеспечивает удобство работы в труднодоступных местах
Превосходное соотношение мощность/вес: энергия удара 11 Дж и 6.1 кг перфоратор
Отключение вращения для средних и лёгких долбёжных работ
Уникальная система уплотнений для защиты от попадания пыли в ударный механизм обеспечивает высокую производительность и долгий срок службы инструмента
Ударный механизм оптимизирован уменьшением количества компонентов и улучшеннным демпфированием для передачи макимальной энергии удара и обеспечивает эффективное сверление самых твердых материалов
Эффективный механизм передаёт энергию удара непосредственно на бур или долото без потерь на вибрацию и уменьшает отдачу инструмента
Мягкая прорезиненная рукоятка для удобства пользователя










","Сверление отверстий под анкеры (большие механические и химические анкеры)
Сквозные отверстия для кабелей и труб и т.д.
Лёгкие долбёжные работы по кирпичу или каменной кладке и бетону
Долбёжные работы в стенах для установки кабеля и труб















",
D25601K-QS,"перфоратор SDS-max, 1250 Вт, 2 режима, 12 Дж,  1430-2840  уд./мин., 210-415 об./мин.,  AVC, Ø бура до 45 мм,  кофр, 6.8 кг","Идеально подходит для сверления отверстий в бетоне, каменной и кирпичной кладке бурами диаметром 12-45 мм и полыми коронками до 100 мм
Цепная передача, в сочетании с редуктором в масляной ванне, увеличивает надежность и производительность, гарантирует полную смазку компонентов и превосходное рассеивание высокой температуры в редукторе
Активная антивибрационная система AVC, в сочетании с ""плавающей"" задней рукояткой и амортизированной боковой рукояткой, обеспечивает максимальное снижение уровня вибрации
Эргономичная, компактная конструкция обеспечивает удобство работы в труднодоступных местах
Отключение вращения для средних и лёгких долбёжных работ
Уникальная система уплотнений для защиты от попадания пыли в ударный механизм обеспечивает высокую производительность и долгий срок службы инструмента
Ударный механизм оптимизирован уменьшением количества компонентов и улучшенным демпфированием для передачи макcимальной энергии удара и обеспечивает эффективное сверление самых твердых материалов
Эффективный механизм передаёт энергию удара непосредственно на бур или долото без потерь на вибрацию и уменьшает отдачу инструмента
Мягкая прорезиненная рукоятка для удобства пользователя
Электронная регулировка скорости вращения и энергии удара для удобной работы бурами малого диаметра и в легких материалах
Блокировка выключателя для удобной работы в режиме долбления
Электронные индикаторы износа щеток и необходимости обслуживания
Превосходное соотношение мощность/вес: энергия удара 8 Дж и 6.8 кг перфоратор
Магниевый корпус редуктора уменьшает вес и увеличивает долговечность инструмента





","Сверление отверстий под анкеры (большие механические и химические анкеры)
Сквозные отверстия для кабелей и труб и т.д.
Лёгкие долбёжные работы по кирпичу или каменной кладке и бетону
Долбёжные работы в стенах для установки кабеля и труб















",
D25763K-QS,"перфоратор SDS-max, 1500 Вт, 2 режима, 15.5 Дж,  1150-2300 уд./мин., 125-250 об./мин., электронная система UTC и CTC для сверхбыстрой защиты от заклинивания, AVC, Ø бура до 52 мм,  кофр, 9.9 кг","Идеально подходит для сверления сквозных отверстий и отверстий под анкерные крепления в бетоне и кирпичной кладке диаметром от 12 до 52 мм. Сверление коронками до 150 мм
Активная антивибрационная система и виброгасящая задняя рукоятка обеспечивают непревзойденный низкий уровень вибраций
Система антивращения обнаруживает потерю контроля над инструментом, и реагирует мгновенно выключая его
Система Абсолютного Контроля крутящего момента (UTC) – новая технология DEWALT, обеспечивающая наивысшую степень защиты пользователя при работе инструментом. Это комбинация запатентованной двухступенчатой муфты и электронной системы, отключающей инструмент за доли секунды в ситуации заклинивания бура или коронки.
Электронная регулировка скорости вращения и энергии удара
Блокировка выключателя для продолжительной работы
Блокировка вращения для разрушения кирпичной и каменной кладки или легких долбежных работ по бетону
Индикаторы износа щеток и необходимости обслуживания











",Идеально подходит для сверления сквозных отверстий и отверстий под анкерные крепления в бетоне и кирпичной кладке диаметром от 12 до 52 мм. Сверление коронками до 150 мм,
D25481K-QS,"перфоратор SDS-max, 1050 Вт, 3 режима , 6.1 Дж, 35мм, 0-3150 уд/мин, 0-540 об/мин,  AVC, Ø бура до 40 мм, антивибрационная рукоятка, кофр, 5кг ",,,
D25721K-QS,"перфоратор SDS-max, 1350 Вт, 2 режима, 13 Дж,  1225-2450 уд./мин., 132-265 об./мин., AVC, Ø бура до 48 мм,  кофр, 8.7 кг","Идеально подходит для сверления сквозных отверстий и отверстий под анкерные крепления в бетоне и кирпичной кладке диаметром от 12 до 48 мм. Сверление коронками до 115 мм
Активная антивибрационная система и плавающая виброгасящая задняя рукоятка обеспечивают непревзойденный низкий уровень вибраций
Эргономичный, компактный и тонкий дизайн для максимального контроля над инструментом и удобной работы в ограниченном пространстве
Электронная регулировка скорости вращения и энергии удара
Блокировка выключателя для продолжительной работы
Блокировка вращения для разрушения кирпичной и каменной кладки или легких долбежных работ по бетону
Индикаторы износа щеток и необходимости обслуживания












",Идеально подходит для сверления сквозных отверстий и отверстий под анкерные крепления в бетоне и кирпичной кладке диаметром от 12 до 48 мм. ,
D25762K-QS,"перфоратор SDS-max, 1500 Вт, 2 режима, 15.5 Дж,  1150-2300 уд./мин., 125-250 об./мин., CTC, AVC, Ø бура до 52 мм,  кофр, 9.9 кг","Идеально подходит для сверления сквозных отверстий и отверстий под анкерные крепления в бетоне и кирпичной кладке диаметром от 12 до 52 мм. Сверление коронками до 150 мм
Активная антивибрационная система AVC и виброгасящая задняя рукоятка обеспечивают непревзойденный низкий уровень вибраций
Полный контроль крутящего момента СТС. Уникальная запатентованная 2-х ступенчатая муфта обеспечивает пользователю повышенную безопасность при работе бурами и коронками разных диаметров
Электронная регулировка скорости вращения и энергии удара
Блокировка выключателя для продолжительной работы
Блокировка вращения для разрушения кирпичной и каменной кладки или легких долбежных работ по бетону
Индикаторы износа щеток и необходимости обслуживания












",Идеально подходит для сверления сквозных отверстий и отверстий под анкерные крепления в бетоне и кирпичной кладке диаметром от 12 до 52 мм. Сверление коронками до 150 мм,
D25134K-KS,"перфоратор SDS-plus, 800 Вт, 3 режима, 3.0 Дж, 0-5540 уд./мин., Ø бура до 26 мм, 3.0  кг, быстрозаменяемый патрон 13 мм, чемодан TSTAK","Идеально подходит для установки анкеров, сверления отверстий в бетоне и кирпиче от 4 до 26 мм
Блокировка вращения для легких долбежных работ в кирпиче, бетоне и каменной кладке
Быстросъёмный трехкулачковый патрон позволяет использовать перфоратор как дрель-шуруповёрт (устанавливать сверла и биты со стандвртным хвостовиком)
Отключение удара для сверления дерева, металла, керамики и заворачивания саморезов
Большой ударный механизм с энергией удара 3.0 Дж обеспечивает высокую производительность и создает минимальную нагрузку на наиболее важные компоненты перфоратора
Встроенная предохранительная муфта исключает внезапный крутящий удар при заклинивании бура
Электронная регулировка скорости для полного контроля над выполняемой операцией
Эргономичная прорезиненная пистолетная рукоятка для большего удобства использования
Прорезиненая задняя рукоятка обеспечивает надёжный и удобный хват инструмента
Эргономичный индустриальный дизайн, прогрессивная обтекаемая форма корпуса обеспечивает удобство работы в различных применениях
Усовершенствованная система уплотнений для максимальной защиты от попадания пыли обеспечивает долгий срок службы
Особая конструкция воздуховодов защищает глаза пользователя от выходящего потока воздуха







","Сверления отверстий в твердой каменной кладке, бетоне и камне: диаметром от 4 до 26 мм
Сверление сквозных отверстий в кирпичной кладке дома под трубы и кабели
Лёгкие долбёжные работы по кирпичу или камню
Удаление плитки на кухне и в ванной комнате
Штрорбирование в кирпиче
Демонтаж гипса
Сверления отверстий в древесине и стали












",
D25263K-QS,"перфоратор SDS-plus, 900 Вт, 3 режима, 3.0 Дж, 0-5350 уд./мин., 0-1450 об./мин., AVC, Ø бура до 28 мм, антивибрационная D-образная рукоятка, кофр, 3.1 кг","Идеально подходит для сверления отверстий в бетоне и кирпиче 4-28 мм
Блокировка вращения для легких долбежных работ в кирпиче, бетоне и каменной кладке
Активная антивибрационная система с подпружиненной задней рукояткой для большего комфорта
Отключение удара для сверления дерева, металла, керамики и заворачивания саморезов
Встроенная предохранительная муфта исключает внезапный крутящий удар при заклинивании бура
Электронная регулировка скорости для полного контроля над выполняемой операцией
Большой ударный механизм обеспечивает высокую производительность и создает минимальную нагрузку на наиболее важные компоненты перфоратора
Эргономичная прорезиненная пистолетная рукоятка для большего удобства использования
Эргономичный индустриальный дизайн, прогрессивная обтекаемая форма корпуса обеспечивает удобство работы в различных применениях
Усовершенствованная система уплотнений для максимальной защиты от попадания пыли обеспечивает долгий срок службы
Специальный дизайн воздуховодов защищает глаза пользователя








","Сверления отверстий в твердой каменной кладке, бетоне и камне: диаметром от 4 до 26 мм
Сверление сквозных отверстий в кирпичной кладке дома под трубы и кабели
Лёгкие долбёжные работы по кирпичу или каменной кладке и бетону
Удаление плитки на кухне и в ванной комнате
Штрорбирование в кирпиче
Демонтаж гипса
Сверления отверстий в древесине и стали












",
D25413K-QS,"перфоратор SDS-plus, 1000 Вт, 3 режима, 4.2 Дж, 0-4700 уд./мин., 0-820 об./мин., AVC, Ø бура до 32 мм, антивибрационная рукоятка, кофр, 4.2 кг","Активная антивибрационная система AVC в сочетании с прорезиненной плавающей задней рукояткой обеспечивают минимальный уровень вибрации инструмента и максимальный комфорт пользователя
Идеально подходит для сверления в бетоне и кирпиче бурами диаметром 6-32 мм
Прекрасное соотношение мощность/вес обеспечивает максимальную производительность при небольшом весе инструмента
Большой, прочный ударный механизм обеспечивает продолжительный срок службы перфоратора
Блокировка вращения для легких долбежных операций и удаления штукатурки и плитки
Электронная регулировка скорости
Предохранительная механическая муфта защищает пользователя от ""обратного удара"" при заклинивании бура
Отключение удара для сверления в дереве, керамике, металле и т.д.











","Подвеска труб, сквозные отверстия для труб, сверление коронкой отверстий для труб большого диаметра, подвеска воздуховода.
Работы в лёгком режиме по разбиванию кирпича или стеновых материалов. Выборка стеновых пазов для прокладки труб или проводки. Скол плитки и штукатурки.
Подвеска кабельных коробок, сквозные отверстия для каналов или труб, установка распределительных ящиков, тяжёлые крепления для больших электрических установок, например, панелей управления.
Первичное и вторичное крепление, крепление установок на стенах и полу, рамная конструкция для формовки бетона и крепление профилей. Подвеска деревянных балок при кровельных работах.
Фиксация оборудования. Все виды подвесок.














",
D25414KT-QS,"перфоратор SDS-plus, 1000 Вт, 3 режима, 4.2 Дж, 0-4700 уд./мин., 0-820 об./мин., AVC, Ø бура до 32 мм, антивибрационная рукоятка, кофр, быстрозаменяемый патрон 13 мм, набор буров и сверл, перчатки, очки, 4.3 кг",,,
D25133K-KS,"перфоратор SDS-plus, 800 Вт, 3 режима, 2.9 Дж, 0-5500 уд./мин., Ø бура до 26 мм, 2.6  кг, чемодан TSTAK","Идеально подходит для установки анкеров, сверления отверстий в бетоне и кирпиче от 4 до 26 мм
Блокировка вращения для легких долбежных работ в кирпиче, бетоне и каменной кладке
Отключение удара для сверления дерева, металла, керамики и заворачивания саморезов
Встроенная предохранительная муфта исключает внезапный крутящий удар при заклинивании бура
Электронная регулировка скорости для полного контроля над выполняемой операцией
Эргономичная прорезиненная пистолетная рукоятка для большего удобства использования
Эргономичная и обтекаемая форма корпуса оеспечивает удобство во время работы в различных применениях
Усовершенствованная система уплотнений для максимальной защиты от попадания пыли обеспечивает долгий срок службы
Особая конструкция воздуховодов защищает глаза пользователя от потка воздуха










","Сверления отверстий в твердой каменной кладке, бетоне и камне: диаметром от 4 до 26 мм
Сверление сквозных отверстий в кирпичной кладке дома под трубы и кабели
Лёгкие долбёжные работы по кирпичу или камню
Удаление плитки на кухне и в ванной комнате
Штрорбирование в кирпиче
Демонтаж гипса
Сверления отверстий в древесине и стали












",
D25144K,,,,
D25143K-KS,"перфоратор SDS-plus, 900 Вт, 3 режима, 3.2 Дж, 0-5350 уд./мин., Ø бура до 28 мм, 3.1  кг, чемодан TSTAK",,,
D25052K-QS,"перфоратор SDS-plus, 650 Вт, 2 режима, 1.9 Дж, 0–6200 уд./мин., 0-2300 об./мин., AVC, Ø бура до 20 мм,  кофр, 2.6 кг","Система Активного Контроля Вибрации (AVC) и подпружиненная задняя рукоятка обеспечивают самый низкий уровень вибрации
Идеально подходит для сверления отверстий в бетоне и каменной кладке диаметром 4-20 мм
Отличное соотношение мощности и веса инструмента
Электронная регулировка скорости для полного контроля над выполняемой операцией
Встроенная механическая предохранительная муфта исключает внезапный крутящий удар при заклинивании бура
Оптимизированная конструкция ударного механизма обеспечивает снижение вибрации
Одинаковая мощность в прямом и обратном режимах вращения
Удобный, хорошо защищенный переключатель режимов работы











",Идеально подходит для сверления отверстий в бетоне и каменной кладке диаметром 4-20 мм,
D25333K,,,,
DW872-QS,"пила монтажная под твердосплавные диски, 2200 Вт, 1300 об./мин., диск 355х25.4 мм, 18 кг","Чистый рез без заусенцев, в отличие от абразива - неизменная глубина реза в течение всего срока службы диска
Мощный 2200 Вт электродвигатель с плавным пуском для резания черного металла
Диск 355 мм.
Широкая стальная станина для лучшей устойчивости
Размер посадочного отверстия диска 25.4 мм
Быстрозажимные поворотные тиски для резания под углами до 45°
Защитный кожух
Эргономичная горизонтальная рукоятка для удобства пользователя
Вертикальный зажим для большей безопасности
Фиксатор для транспортировки









","Установка труб, отходов, трубопроводов высокого давления
Газовые линии
Установка систем орашения и пожаротушения
Установка радиаторов и систем отопления
Резка армартуры
Электрические линии
Перила, оконные конструкции, ворота, лестничных конструкций
Металлические конструкции, оплаубка, лестницы
Металлические стержни
Металлические конструкции









",
D28715-QS,"пила монтажная под абразивные диски, 2200 Вт, 4000 об./мин., диск 355х25.4 мм, самоотключающиеся щетки, плавный пуск, 18 кг","Крепление диска без ключа позволяет быстро и легко менять диск
Электронный плавный пуск для ограничения пускового тока и отдачи
Мощный электродвигатель с высокой перегрузочной способностью и защитой от абразивной пыли
Бесключевое изменение угла крепления заготовки
Самоотключающиеся щетки для предотвращения повреждений двигателя
Горизонтальная рукоятка для лучшей эргономики
Легкая и большая станина для увеличения рабочей поверхности и лучшей устойчивости
Блокировка шпинделя для легкой смены диска
Бестрозажимные тиски для легкой установки заготовок
Шестерни увеличенной прочности
Легкая транспортировка благодаря новой интегрированной рукоятке
Регулируемая защита от искр







","Резка арматуры, мелаллической проволоки, уголков, швеллеров, труб",
D28720-KS,"пила монтажная под абразивные диски, 2300 Вт, 3800 об./мин., диск 355х25.4 мм, 1 диск","


















","Резка арматуры, мелаллической проволоки, уголков, швеллеров, труб",
D28710,,,,
D28700,,,,
D28710V,,,,
DW304PK,,,,
DWE398-QS,"пила Аллигатор, 1700 Вт, шина 430 мм, 3000 ходов в минуту, ход 40 мм, 2 полотна по блокам ""Поротерм"" класс 20, 5.5 кг","Пила ""Аллигатор"" поставляется с твердосплавным двойным полотном 430 мм и идеально подходит для резания кирпича Поротерм Класса 20
Блокировка выключателя обеспечивает защиту от случайного включения
Надежный и мощный электродвигатель для выполнения самых тяжелых работ
Встречное движение двух долговечных полотен обеспечивает отличную скорость резания и устойчивость заготовки при обработке
Пылезащищенные редуктор и подшипники увеличивают срок службы пилы
Алюминиевый корпус редуктора обеспечивает легкий вес и превосходную прочность
Простая и удобная система быстрой смены полотен со встроенным в корпус гнездом для хранения ключа
Эргономичный дизайн и прорезиненные задняя и передняя рукоятки для удобного захвата и снижения усталости пользователя











","Подходит для резания кирпича Поротерм Класса 20


















",
DWE396-QS,"пила Аллигатор, 1600 Вт, шина 295 мм, 3000 ходов в минуту, ход 40 мм, полотно по блокам ""Поротерм"" класс 12, 5.35 кг","Пила ""Аллигатор"" поставляется с твердосплавным двойным полотном 295 мм класса 12
Идеально подходит для резания кирпича Класса 12 (Поротерм)
Надежный и мощный электродвигатель для выполнения самых тяжелых работ
Эргономичный дизайн и прорезиненные задняя и передняя рукоятки для удобного захвата и снижения усталости пользователя
Система двойных полотен с долгим сроком службы, сниженной вибрацией и пылезащищенные редуктор и подшипники увеличивают срок службы пилы
Простая и удобная система быстрой смены полотен со встроенным в корпус гнездом для хранения ключа
Алюминиевый корпус редуктора обеспечивает легкий вес и превосходную прочность
Блокировка выключателя обеспечивает защиту от случайного включения
Встречное движение двух полотен обеспечивает отличную скорость резания и устойчивость заготовки при обработке










","


















",
DWE305PK-QS,"сабельная пила, 1100 Вт, 0-2800 ход/мин, ход 29 мм, фиксация пилки в 4-х положениях, кофр, 3.5 кг","Мощный 1100 Вт двигатель для тяжелых работ по различным материалам
4-х позиционный зажим пилки для резки заподлицо и универсальности применения
Величина хода 29 мм обеспечивает высокую производительность работы
Рычажный механизм зажима пилки без ключа для быстрой и легкой смены принадлежностей
Для самого широкого круга пользователей, таких как сантехники, электрики, установщики кондиционеров, и других строительных специальностей














","Резка стальных труб
Резка газобетона и т.д..
Резка дерева с гвоздями
Погружной рез для дверей
Резка труб и металлического профиля
Резка коробов для кабеля
Строительство домов
Установка окон и дверей











",
DWE397-QS,"пила Аллигатор, 1700 Вт, шина 430 мм, 3000 ходов в минуту, ход 40 мм, полотно по блокам ""Поротерм"" класс 12, 5.5 кг","Пила ""Аллигатор"" поставляется с твердосплавным двойным полотном 430 мм класса 12 и идеально подходит для резания кирпича Класса 12 (Поротерм)
Надежный и мощный электродвигатель для выполнения самых тяжелых работ
Эргономичный дизайн и прорезиненные задняя и передняя рукоятки для удобного захвата и снижения усталости пользователя
Система двойных полотен с долгим сроком службы, сниженной вибрацией и пылезащищенные редуктор и подшипники увеличивают срок службы пилы
Простая и удобная система быстрой смены полотен со встроенным в корпус гнездом для хранения ключа
Алюминиевый корпус редуктора обеспечивает легкий вес и превосходную прочность
Блокировка выключателя обеспечивает защиту от случайного включения
Встречное движение двух полотен обеспечивает отличную скорость резания и устойчивость заготовки при обработке











","Подходит для резания кирпича Класса 12 (Поротерм)


















",
DW393,,,,
DW392,,,,
DWE399-QS,"пила Аллигатор, 1700 Вт, шина 430 мм, 3000 ходов в минуту, ход 40 мм, полотно по газобетону, 5.5 кг","Пила ""Аллигатор"" идеально подходит для резания пористого бетона (газобетон, шлакобетон, пенобетон) и гипсокартона
Надежный и мощный электродвигатель для выполнения самых тяжелых работ
Встречное движение двух долговечных полотен обеспечивает высокую скорость резания и устойчивость заготовки при обработке
Пылезащищенные редуктор и подшипники увеличивают срок службы пилы
Алюминиевый корпус редуктора обеспечивает легкий вес и превосходную прочность
Блокировка выключателя обеспечивает защиту от случайного включения
Простая и удобная система быстрой смены полотен со встроенным в корпус гнездом для хранения ключа
Эргономичный дизайн и прорезиненные задняя и передняя рукоятки для удобного захвата и снижения усталости пользователя











","Подходит для резания пористого бетона (газобетон, шлакобетон, пенобетон) и гипсокартона


















",
D27107V,,,,
DW716EXPS,,,,
DW771-QS,электронный 216-мм поперечный торцовочный пила,"Со всеми особенностями DW777 и модулем регулировки частоты вращения для увеличения сферы применения пилы. Фиберглас, пластик и многие другие материалы могут быть эффективно распилены с высоким качеством реза
Резание под углом, наклонное резание и комбинированное резание
Новый 1600 Вт мощный двигатель для пиления различных материалов
Высокоэффективная система пылеудаления
Прецизионная система торцевания
Блокировка в транспортное состояние
Удобная шкала +/- 50° для резания под углом с фиксированными положениями 15°, 22.5°, 30° и 45°
Скользящий левосторонний упор с измерительной линейкой для большего удобства управления и надежной фиксации заготовки
Компактные направляющие для получения максимальных параметров реза при минимальных транспортных размерах










","


















",
DWS777-QS,"торцовочная пила 1800 Вт, 6300 об/мин, диск 216х30 мм, наклон 48°, угол поворота право/лево 50°/50°, макс. глубина реза 80 мм, система позиционирования линии реза с помощью тени от диска XPS, 14 кг",,,
